Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator	Threshold [mV] - With Source	Frequency  [kHz] - With Source
-22	0,306667			-24	0,356667
				-26	0,32
				-28	0,28
				-30	0,306667
				-32	0,216667
				-34	0,226667
				-36	0,266667
				-38	0,276667
				-40	0,293333
				-42	0,223333
				-44	0,236667
				-46	0,31
				-48	0,266667
				-50	0,27
				-52	0,253333
				-54	0,246667
				-56	0,303333
				-58	0,306667
				-60	0,266667
				-62	0,303333
				-64	0,27
				-66	0,293333
				-68	0,226667
				-70	0,22
				-72	0,25
				-74	0,27
				-76	0,226667
				-78	0,213333
				-80	0,243333
				-82	0,256667
				-84	0,293333
				-86	0,263333
				-88	0,226667
				-90	0,206667
				-92	0,233333
				-94	0,256667
				-96	0,25
				-98	0,22
				-100	0,256667
				-102	0,193333
				-104	0,293333
				-106	0,24
				-108	0,27
				-110	0,243333
				-112	0,29
				-114	0,233333
				-116	0,21
				-118	0,26
				-120	0,246667
				-122	0,283333
				-124	0,22
				-126	0,256667
				-128	0,15
				-130	0,22
				-132	0,186667
				-134	0,203333
				-136	0,25
				-138	0,29
				-140	0,273333
				-142	0,216667
				-144	0,213333
				-146	0,206667
				-148	0,233333
				-150	0,186667
