Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator	Threshold [mV] - With Source	Frequency  [kHz] - With Source
-22	0,4			-24	0,396667
				-26	0,446667
				-28	0,386667
				-30	0,47
				-32	0,463333
				-34	0,386667
				-36	0,383333
				-38	0,43
				-40	0,453333
				-42	0,43
				-44	0,373333
				-46	0,466667
				-48	0,363333
				-50	0,436667
				-52	0,376667
				-54	0,4
				-56	0,43
				-58	0,383333
				-60	0,406667
				-62	0,423333
				-64	0,393333
				-66	0,4
				-68	0,39
				-70	0,45
				-72	0,423333
				-74	0,38
				-76	0,37
				-78	0,386667
				-80	0,406667
				-82	0,41
				-84	0,44
				-86	0,4
				-88	0,396667
				-90	0,346667
				-92	0,403333
				-94	0,36
				-96	0,36
				-98	0,336667
				-100	0,373333
				-102	0,373333
				-104	0,333333
				-106	0,406667
				-108	0,313333
				-110	0,29
				-112	0,293333
				-114	0,313333
				-116	0,33
				-118	0,34
				-120	0,29
				-122	0,333333
				-124	0,25
				-126	0,3
				-128	0,33
				-130	0,256667
				-132	0,273333
				-134	0,266667
				-136	0,256667
				-138	0,276667
				-140	0,243333
				-142	0,246667
				-144	0,25
				-146	0,196667
				-148	0,0733333
				-150	0,0633333
