Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator	Threshold [mV] - With Source	Frequency  [kHz] - With Source
				-22	0,48
				-24	0,536667
				-26	0,49
				-28	0,613333
				-30	0,54
				-32	0,55
				-34	0,51
				-36	0,536667
				-38	0,536667
				-40	0,55
				-42	0,493333
				-44	0,53
				-46	0,55
				-48	0,54
				-50	0,506667
				-52	0,546667
				-54	0,606667
				-56	0,61
				-58	0,616667
				-60	0,546667
				-62	0,523333
				-64	0,516667
				-66	0,55
				-68	0,53
				-70	0,516667
				-72	0,506667
				-74	0,55
				-76	0,596667
				-78	0,57
				-80	0,63
				-82	0,606667
				-84	0,543333
				-86	0,57
				-88	0,516667
				-90	0,55
				-92	0,546667
				-94	0,54
				-96	0,566667
				-98	0,53
				-100	0,59
				-102	0,543333
				-104	0,563333
				-106	0,56
				-108	0,533333
				-110	0,51
				-112	0,58
				-114	0,583333
				-116	0,513333
				-118	0,646667
				-120	0,54
				-122	0,633333
				-124	0,556667
				-126	0,586667
				-128	0,536667
				-130	0,55
				-132	0,596667
				-134	0,576667
				-136	0,583333
				-138	0,59
				-140	0,6
				-142	0,536667
				-144	0,506667
				-146	0,38
				-148	0,27
				-150	0,12
