ADC Channels - Charge distribution	Counts - Charge distribution
-85	1166
-75	1550
-65	2008
-55	2545
-45	3147
-35	3871
-25	4426
-15	5187
-5	5831
5	6462
15	6908
25	7387
35	7701
45	7743
55	7861
65	7772
75	7490
85	7193
95	6985
105	6739
115	6303
125	6005
135	5720
145	5846
155	5994
165	6438
175	7060
185	8107
195	9223
205	10816
215	12218
225	13909
235	15639
245	17557
255	19202
265	20976
275	21940
285	22930
295	23250
305	23512
315	23198
325	22715
335	21866
345	20292
355	19100
365	17256
375	15595
385	13811
395	11966
405	10004
415	8578
425	7252
435	5905
445	4826
455	3846
465	3104
475	2476
485	1905
495	1552
505	1300
515	1097
525	904
535	784
545	655
555	646
565	585
575	567
585	575
595	523
605	505
615	480
625	435
635	410
645	410
655	361
665	380
675	350
