ADC Channel - Charge distribution	Counts - Charge distribution
-495	1
-485	0
-475	1
-465	1
-455	0
-445	0
-435	3
-425	1
-415	0
-405	0
-395	2
-385	0
-375	1
-365	0
-355	0
-345	0
-335	1
-325	0
-315	0
-305	0
-295	0
-285	0
-275	0
-265	0
-255	0
-245	0
-235	0
-225	0
-215	0
-205	0
-195	0
-185	0
-175	0
-165	0
-155	0
-145	0
-135	0
-125	0
-115	0
-105	0
-95	0
-85	0
-75	0
-65	0
-55	0
-45	0
-35	0
-25	0
-15	0
-5	0
5	0
15	0
25	0
35	0
45	0
55	0
65	0
75	0
85	0
95	0
105	0
115	1
125	0
135	0
145	1
155	1
165	2
175	1
185	1
195	1
205	0
215	2
225	5
235	4
245	8
255	4
265	5
275	6
285	10
295	15
305	18
315	20
325	24
335	24
345	34
355	48
365	56
375	46
385	79
395	75
405	102
415	105
425	118
435	144
445	117
455	151
465	170
475	195
485	218
495	228
505	240
515	246
525	309
535	252
545	316
555	333
565	343
575	393
585	434
595	413
605	424
615	419
625	503
635	471
645	518
655	550
665	590
675	600
685	610
695	621
705	606
715	622
725	636
735	598
745	661
755	617
765	606
775	700
785	590
795	600
805	659
815	635
825	588
835	594
845	542
855	540
865	544
875	492
885	451
895	416
905	391
915	384
925	372
935	378
945	324
955	339
965	309
975	278
985	268
995	266
1005	239
1015	240
1025	236
1035	246
1045	206
1055	252
1065	216
1075	243
1085	229
1095	216
1105	222
1115	229
1125	258
1135	229
1145	265
1155	271
1165	312
1175	310
1185	322
1195	349
1205	390
1215	447
1225	435
1235	425
1245	505
1255	555
1265	591
1275	611
1285	660
1295	766
1305	827
1315	829
1325	989
1335	1092
1345	1099
1355	1182
1365	1311
1375	1460
1385	1608
1395	1660
1405	1818
1415	1865
1425	2035
1435	2182
1445	2281
1455	2540
1465	2728
1475	2838
1485	2908
1495	3181
1505	3232
1515	3329
1525	3546
1535	3709
1545	3659
1555	3827
1565	4026
1575	3993
1585	3972
1595	4018
1605	4125
1615	4221
1625	4214
1635	4102
1645	4002
1655	3956
1665	4079
1675	3888
1685	3704
1695	3632
1705	3533
1715	3363
1725	3164
1735	3013
1745	2899
1755	2774
1765	2531
1775	2494
1785	2395
1795	2136
1805	1997
1815	1878
1825	1681
1835	1571
1845	1405
1855	1303
1865	1193
1875	1098
1885	1029
1895	871
1905	783
1915	752
1925	654
1935	586
1945	604
1955	514
1965	456
1975	407
1985	392
1995	347
2005	345
2015	341
2025	284
2035	275
2045	260
2055	209
2065	241
2075	224
2085	209
2095	175
2105	162
2115	169
2125	164
2135	153
2145	153
2155	139
2165	173
2175	122
2185	125
2195	127
2205	119
2215	117
2225	131
2235	122
2245	116
2255	115
2265	110
2275	101
2285	128
2295	108
2305	93
2315	91
2325	80
2335	107
2345	85
2355	77
2365	91
2375	68
2385	66
2395	82
2405	60
2415	87
2425	66
2435	71
2445	65
2455	70
2465	64
2475	75
2485	72
2495	48
2505	60
2515	51
2525	58
2535	57
2545	56
2555	50
2565	44
2575	46
2585	54
2595	46
2605	50
2615	59
2625	45
2635	38
2645	42
2655	48
2665	39
2675	49
2685	36
2695	42
2705	38
2715	44
2725	33
2735	36
2745	41
2755	33
2765	29
2775	40
2785	41
2795	35
2805	40
2815	33
2825	38
2835	48
2845	39
2855	52
2865	36
2875	37
2885	37
2895	33
2905	39
2915	42
2925	35
2935	35
2945	41
2955	34
2965	30
2975	35
2985	38
2995	29
3005	36
3015	41
3025	26
3035	39
3045	41
3055	27
3065	49
3075	34
3085	36
3095	34
3105	32
3115	36
3125	33
3135	23
3145	31
3155	23
3165	23
3175	30
3185	29
3195	32
3205	15
3215	28
3225	30
3235	23
3245	27
3255	27
3265	24
3275	19
3285	21
3295	16
3305	20
3315	29
3325	14
3335	14
3345	13
3355	21
3365	12
3375	15
3385	16
3395	14
3405	21
3415	9
3425	13
3435	16
3445	8
3455	7
3465	4
3475	6
3485	9
3495	5
3505	6
3515	10
3525	5
3535	4
3545	6
3555	4
3565	8
3575	5
3585	9
3595	3
3605	5
3615	4
3625	6
3635	3
3645	4
3655	7
3665	5
3675	2
3685	0
3695	2
3705	2
3715	4
3725	2
3735	2
3745	3
3755	1
3765	2
3775	1
3785	3
3795	2
3805	1
3815	1
3825	1
3835	1
3845	3
3855	1
3865	0
3875	1
3885	0
3895	1
3905	0
3915	0
3925	2
3935	1
3945	3
3955	1
3965	2
3975	1
3985	1
3995	2
4005	0
4015	0
4025	0
4035	1
4045	1
4055	2
4065	3
4075	0
4085	0
4095	1
4105	0
4115	1
4125	0
4135	1
4145	1
4155	1
4165	0
4175	0
4185	1
4195	1
4205	2
4215	1
4225	0
4235	0
4245	0
4255	0
4265	2
4275	0
4285	2
4295	0
4305	0
4315	1
4325	0
4335	0
4345	0
4355	1
4365	0
4375	0
4385	0
4395	1
4405	1
4415	0
4425	1
4435	0
4445	1
4455	0
4465	0
4475	0
4485	0
4495	0
4505	1
4515	0
4525	0
4535	1
4545	0
4555	0
4565	1
4575	0
4585	0
4595	0
4605	0
4615	1
4625	0
4635	0
4645	0
4655	0
4665	0
4675	1
4685	0
4695	0
4705	0
4715	1
4725	0
4735	1
4745	0
4755	1
4765	1
4775	1
4785	0
4795	0
4805	0
4815	1
4825	0
4835	0
4845	0
4855	0
4865	0
4875	0
4885	0
4895	1
4905	0
4915	0
4925	0
4935	0
4945	0
4955	1
4965	0
4975	0
4985	0
4995	0
5005	0
5015	0
5025	0
5035	0
5045	0
5055	0
5065	0
5075	0
5085	0
5095	0
5105	0
5115	0
5125	0
5135	0
5145	0
5155	0
5165	0
5175	0
5185	0
5195	0
5205	0
5215	0
5225	0
5235	0
5245	0
5255	0
5265	0
5275	0
5285	0
5295	0
5305	0
5315	0
5325	0
5335	0
5345	0
5355	0
5365	0
5375	0
5385	0
5395	0
5405	0
5415	0
5425	0
5435	0
5445	0
5455	0
5465	0
5475	0
5485	0
5495	0
5505	0
5515	0
5525	0
5535	0
5545	1
5555	0
5565	0
5575	0
5585	0
5595	0
5605	0
5615	0
5625	0
5635	0
5645	0
5655	0
5665	0
5675	0
5685	0
5695	0
5705	0
5715	0
5725	0
5735	0
5745	0
5755	0
5765	0
5775	0
5785	0
5795	0
5805	0
5815	0
5825	0
5835	0
5845	0
5855	0
5865	0
5875	0
5885	0
5895	0
5905	0
5915	0
5925	0
5935	0
5945	0
5955	0
5965	0
5975	0
5985	0
5995	0
6005	0
6015	0
6025	0
6035	0
6045	0
6055	0
6065	0
6075	0
6085	0
6095	0
6105	0
6115	0
6125	0
6135	0
6145	0
6155	0
6165	0
6175	0
6185	0
6195	0
6205	0
6215	0
6225	0
6235	0
6245	0
6255	0
6265	0
6275	0
6285	0
6295	0
6305	0
6315	0
6325	0
6335	0
6345	0
6355	0
6365	0
6375	1
6385	0
6395	0
6405	0
6415	0
6425	0
6435	0
6445	0
6455	0
6465	0
6475	0
6485	0
6495	0
6505	0
6515	0
6525	0
6535	0
6545	0
6555	0
6565	0
6575	0
6585	0
6595	0
6605	0
6615	0
6625	1
6635	0
6645	0
6655	0
6665	0
6675	0
6685	0
6695	0
6705	0
6715	0
6725	1
6735	0
6745	0
6755	0
6765	0
6775	0
6785	0
6795	0
6805	0
6815	0
6825	0
6835	0
6845	0
6855	0
6865	0
6875	0
6885	0
6895	0
6905	0
6915	0
6925	0
6935	0
6945	0
6955	0
6965	0
6975	0
6985	0
6995	0
7005	0
7015	0
7025	0
7035	0
7045	0
7055	0
7065	0
7075	0
7085	0
7095	0
7105	0
7115	0
7125	0
7135	0
7145	0
7155	0
7165	0
7175	0
7185	0
7195	0
7205	0
7215	0
7225	0
7235	0
7245	0
7255	0
7265	0
7275	0
7285	0
7295	0
7305	0
7315	0
7325	0
7335	0
7345	0
7355	0
7365	0
7375	0
7385	0
7395	0
7405	0
7415	0
7425	0
7435	0
7445	0
7455	0
7465	0
7475	0
7485	0
7495	0
7505	0
7515	0
7525	0
7535	0
7545	0
7555	0
7565	0
7575	0
7585	0
7595	0
7605	0
7615	0
7625	0
7635	0
7645	0
7655	0
7665	0
7675	0
7685	0
7695	0
7705	0
7715	0
7725	0
7735	0
7745	0
7755	0
7765	0
7775	0
7785	0
7795	0
7805	0
7815	0
7825	0
7835	0
7845	0
7855	0
7865	0
7875	0
7885	0
7895	0
7905	0
7915	0
7925	0
7935	0
7945	0
7955	0
7965	0
7975	0
7985	0
7995	0
8005	0
8015	0
8025	0
8035	0
8045	0
8055	0
8065	0
8075	0
8085	0
8095	0
8105	0
8115	0
8125	0
8135	0
8145	0
8155	0
8165	0
8175	0
8185	0
8195	0
8205	0
8215	0
8225	0
8235	0
8245	0
8255	0
8265	0
8275	0
8285	0
8295	0
8305	0
8315	0
8325	0
8335	0
8345	0
8355	0
8365	0
8375	0
8385	0
8395	0
8405	0
8415	0
8425	0
8435	0
8445	0
8455	0
8465	0
8475	0
8485	0
8495	0
8505	0
8515	0
8525	0
8535	0
8545	0
8555	0
8565	0
8575	0
8585	0
8595	0
8605	0
8615	0
8625	0
8635	0
8645	0
8655	0
8665	0
8675	0
8685	0
8695	0
8705	0
8715	0
8725	0
8735	0
8745	0
8755	0
8765	0
8775	0
8785	0
8795	0
8805	0
8815	0
8825	0
8835	0
8845	0
8855	0
8865	0
8875	0
8885	0
8895	0
8905	0
8915	0
8925	0
8935	0
8945	0
8955	0
8965	0
8975	0
8985	0
8995	0
9005	0
9015	0
9025	0
9035	0
9045	0
9055	0
9065	0
9075	0
9085	0
9095	0
9105	0
9115	0
9125	0
9135	0
9145	0
9155	0
9165	0
9175	0
9185	0
9195	0
9205	0
9215	0
9225	0
9235	0
9245	0
9255	0
9265	0
9275	0
9285	0
9295	0
9305	0
9315	0
9325	0
9335	0
9345	0
9355	0
9365	0
9375	0
9385	0
9395	0
9405	0
9415	0
9425	0
9435	0
9445	0
9455	0
9465	0
9475	0
9485	0
9495	0
9505	0
9515	0
9525	0
9535	0
9545	0
9555	0
9565	0
9575	0
9585	0
9595	0
9605	0
9615	0
9625	0
9635	0
9645	0
9655	0
9665	0
9675	0
9685	0
9695	0
9705	0
9715	0
9725	0
9735	0
9745	0
9755	0
9765	0
9775	0
9785	0
9795	0
9805	0
9815	0
9825	0
9835	0
9845	0
9855	0
9865	0
9875	0
9885	0
9895	0
9905	0
9915	0
9925	0
9935	0
9945	0
9955	0
9965	0
9975	0
9985	0
9995	0
10005	0
10015	0
10025	0
10035	0
10045	0
10055	0
10065	0
10075	0
10085	0
10095	0
10105	0
10115	0
10125	0
10135	0
10145	0
10155	0
10165	0
10175	0
10185	0
10195	0
10205	0
10215	0
10225	0
10235	0
10245	0
10255	0
10265	0
10275	0
10285	0
10295	0
10305	0
10315	0
10325	0
10335	0
10345	0
10355	0
10365	0
10375	0
10385	0
10395	0
10405	0
10415	0
10425	0
10435	0
10445	0
10455	0
10465	0
10475	0
10485	0
10495	0
10505	0
10515	0
10525	0
10535	0
10545	0
10555	0
10565	0
10575	0
10585	0
10595	0
10605	0
10615	0
10625	0
10635	0
10645	0
10655	0
10665	0
10675	0
10685	0
10695	0
10705	0
10715	0
10725	0
10735	0
10745	0
10755	0
10765	0
10775	0
10785	0
10795	0
10805	0
10815	0
10825	0
10835	0
10845	0
10855	0
10865	0
10875	0
10885	0
10895	0
10905	0
10915	0
10925	0
10935	0
10945	0
10955	0
10965	0
10975	0
10985	0
10995	0
11005	0
11015	0
11025	0
11035	0
11045	0
11055	0
11065	0
11075	0
11085	0
11095	0
11105	0
11115	0
11125	0
11135	0
11145	0
11155	0
11165	0
11175	0
11185	0
11195	0
11205	0
11215	0
11225	0
11235	0
11245	0
11255	0
11265	0
11275	0
11285	0
11295	0
11305	0
11315	0
11325	0
11335	0
11345	0
11355	0
11365	0
11375	0
11385	0
11395	0
11405	0
11415	0
11425	0
11435	0
11445	0
11455	0
11465	0
11475	0
11485	0
11495	0
11505	0
11515	0
11525	0
11535	0
11545	0
11555	0
11565	0
11575	0
11585	0
11595	0
11605	0
11615	0
11625	0
11635	0
11645	0
11655	0
11665	0
11675	0
11685	0
11695	0
11705	0
11715	0
11725	0
11735	0
11745	0
11755	0
11765	0
11775	0
11785	0
11795	0
11805	0
11815	0
11825	0
11835	0
11845	0
11855	0
11865	0
11875	0
11885	0
11895	0
11905	0
11915	0
11925	0
11935	0
11945	0
11955	0
11965	0
11975	0
11985	0
11995	0
12005	0
12015	0
12025	0
12035	0
12045	0
12055	0
12065	0
12075	0
12085	0
12095	0
12105	0
12115	0
12125	0
12135	0
12145	0
12155	0
12165	0
12175	0
12185	0
12195	0
12205	0
12215	0
12225	0
12235	0
12245	0
12255	0
12265	0
12275	0
12285	0
12295	0
12305	0
12315	0
12325	0
12335	0
12345	0
12355	0
12365	0
12375	0
12385	0
12395	0
12405	0
12415	0
12425	0
12435	0
12445	0
12455	0
12465	0
12475	0
12485	0
12495	0
12505	0
12515	0
12525	0
12535	0
12545	0
12555	0
12565	0
12575	0
12585	0
12595	0
12605	0
12615	0
12625	0
12635	0
12645	0
12655	0
12665	0
12675	0
12685	0
12695	0
12705	0
12715	0
12725	0
12735	0
12745	0
12755	0
12765	0
12775	0
12785	0
12795	0
12805	0
12815	0
12825	0
12835	0
12845	0
12855	0
12865	0
12875	0
12885	0
12895	0
12905	0
12915	0
12925	0
12935	0
12945	0
12955	0
12965	0
12975	0
12985	0
12995	0
13005	0
13015	0
13025	0
13035	0
13045	0
13055	0
13065	0
13075	0
13085	0
13095	0
13105	0
13115	0
13125	0
13135	0
13145	0
13155	0
13165	0
13175	0
13185	0
13195	0
13205	0
13215	0
13225	0
13235	0
13245	0
13255	0
13265	0
13275	0
13285	0
13295	0
13305	0
13315	0
13325	0
13335	0
13345	0
13355	0
13365	0
13375	0
13385	0
13395	0
13405	0
13415	0
13425	0
13435	0
13445	0
13455	0
13465	0
13475	0
13485	0
13495	0
13505	0
13515	0
13525	0
13535	0
13545	0
13555	0
13565	0
13575	0
13585	0
13595	0
13605	0
13615	0
13625	0
13635	0
13645	0
13655	0
13665	0
13675	0
13685	0
13695	0
13705	0
13715	0
13725	0
13735	0
13745	0
13755	0
13765	0
13775	0
13785	0
13795	0
13805	0
13815	0
13825	0
13835	0
13845	0
13855	0
13865	0
13875	0
13885	0
13895	0
13905	0
13915	0
13925	0
13935	0
13945	0
13955	0
13965	0
13975	0
13985	0
13995	0
14005	0
14015	0
14025	0
14035	0
14045	0
14055	0
14065	0
14075	0
14085	0
14095	0
14105	0
14115	0
14125	0
14135	0
14145	0
14155	0
14165	0
14175	0
14185	0
14195	0
14205	0
14215	0
14225	0
14235	0
14245	0
14255	0
14265	0
14275	0
14285	0
14295	0
14305	0
14315	0
14325	0
14335	0
14345	0
14355	0
14365	0
14375	0
14385	0
14395	0
14405	0
14415	0
14425	0
14435	0
14445	0
14455	0
14465	0
14475	0
14485	0
14495	0
14505	0
14515	0
14525	0
14535	0
14545	0
14555	0
14565	0
14575	0
14585	0
14595	0
14605	0
14615	0
14625	0
14635	0
14645	0
14655	0
14665	0
14675	0
14685	0
14695	0
14705	0
14715	0
14725	0
14735	0
14745	0
14755	0
14765	0
14775	0
14785	0
14795	0
14805	0
14815	0
14825	0
14835	0
14845	0
14855	0
14865	0
14875	0
14885	0
14895	0
14905	0
14915	0
14925	0
14935	0
14945	0
14955	0
14965	0
14975	0
14985	0
14995	0
15005	0
15015	0
15025	0
15035	0
15045	0
15055	0
15065	0
15075	0
15085	0
15095	0
15105	0
15115	0
15125	0
15135	0
15145	0
15155	0
15165	0
15175	0
15185	0
15195	0
15205	0
15215	0
15225	0
15235	0
15245	0
15255	0
15265	0
15275	0
15285	0
15295	0
15305	0
15315	0
15325	0
15335	0
15345	0
15355	0
15365	0
15375	0
15385	0
15395	0
15405	0
15415	0
15425	0
15435	0
15445	0
15455	0
15465	0
15475	0
15485	0
15495	0
15505	0
15515	0
15525	0
15535	0
15545	0
15555	0
15565	0
15575	0
15585	0
15595	0
15605	0
15615	0
15625	0
15635	0
15645	0
15655	0
15665	0
15675	0
15685	0
15695	0
15705	0
15715	0
15725	0
15735	0
15745	0
15755	0
15765	0
15775	0
15785	0
15795	0
15805	0
15815	0
15825	0
15835	0
15845	0
15855	0
15865	0
15875	0
15885	0
15895	0
15905	0
15915	0
15925	0
15935	0
15945	0
15955	0
15965	0
15975	0
15985	0
15995	0
16005	0
16015	0
16025	0
16035	0
16045	0
16055	0
16065	0
16075	0
16085	0
16095	0
16105	0
16115	0
16125	0
16135	0
16145	0
16155	0
16165	0
16175	0
16185	0
16195	0
16205	0
16215	0
16225	0
16235	0
16245	0
16255	0
16265	0
16275	0
16285	0
16295	0
16305	0
16315	0
16325	0
16335	0
16345	0
16355	0
16365	0
16375	0
16385	0
16395	0
16405	0
16415	0
16425	0
16435	0
16445	0
16455	0
16465	0
16475	0
16485	0
16495	0
16505	0
16515	0
16525	0
16535	0
16545	0
16555	0
16565	0
16575	0
16585	0
16595	0
16605	0
16615	0
16625	0
16635	0
16645	0
16655	0
16665	0
16675	0
16685	0
16695	0
16705	0
16715	0
16725	0
16735	0
16745	0
16755	0
16765	0
16775	0
16785	0
16795	0
16805	0
16815	0
16825	0
16835	0
16845	0
16855	0
16865	0
16875	0
16885	0
16895	0
16905	0
16915	0
16925	0
16935	0
16945	0
16955	0
16965	0
16975	0
16985	0
16995	0
17005	0
17015	0
17025	0
17035	0
17045	0
17055	0
17065	0
17075	0
17085	0
17095	0
17105	0
17115	0
17125	0
17135	0
17145	0
17155	0
17165	0
17175	0
17185	0
17195	0
17205	0
17215	0
17225	0
17235	0
17245	0
17255	0
17265	0
17275	0
17285	0
17295	0
17305	0
17315	0
17325	0
17335	0
17345	0
17355	0
17365	0
17375	0
17385	0
17395	0
17405	0
17415	0
17425	0
17435	0
17445	0
17455	0
17465	0
17475	0
17485	0
17495	0
17505	0
17515	0
17525	0
17535	0
17545	0
17555	0
17565	0
17575	0
17585	0
17595	0
17605	0
17615	0
17625	0
17635	0
17645	0
17655	0
17665	0
17675	0
17685	0
17695	0
17705	0
17715	0
17725	0
17735	0
17745	0
17755	0
17765	0
17775	0
17785	0
17795	0
17805	0
17815	0
17825	0
17835	0
17845	0
17855	0
17865	0
17875	0
17885	0
17895	0
17905	0
17915	0
17925	0
17935	0
17945	0
17955	0
17965	0
17975	0
17985	0
17995	0
18005	0
18015	0
18025	0
18035	0
18045	0
18055	0
18065	0
18075	0
18085	0
18095	0
18105	0
18115	0
18125	0
18135	0
18145	0
18155	0
18165	0
18175	0
18185	0
18195	0
18205	0
18215	0
18225	0
18235	0
18245	0
18255	0
18265	0
18275	0
18285	0
18295	0
18305	0
18315	0
18325	0
18335	0
18345	0
18355	0
18365	0
18375	0
18385	0
18395	0
18405	0
18415	0
18425	0
18435	0
18445	0
18455	0
18465	0
18475	0
18485	0
18495	0
18505	0
18515	0
18525	0
18535	0
18545	0
18555	0
18565	0
18575	0
18585	0
18595	0
18605	0
18615	0
18625	0
18635	0
18645	0
18655	0
18665	0
18675	0
18685	0
18695	0
18705	0
18715	0
18725	0
18735	0
18745	0
18755	0
18765	0
18775	0
18785	0
18795	0
18805	0
18815	0
18825	0
18835	0
18845	0
18855	0
18865	0
18875	0
18885	0
18895	0
18905	0
18915	0
18925	0
18935	0
18945	0
18955	0
18965	0
18975	0
18985	0
18995	0
19005	0
19015	0
19025	0
19035	0
19045	0
19055	0
19065	0
19075	0
19085	0
19095	0
19105	0
19115	0
19125	0
19135	0
19145	0
19155	0
19165	0
19175	0
19185	0
19195	0
19205	0
19215	0
19225	0
19235	0
19245	0
19255	0
19265	0
19275	0
19285	0
19295	0
19305	0
19315	0
19325	0
19335	0
19345	0
19355	0
19365	0
19375	0
19385	0
19395	0
19405	0
19415	0
19425	0
19435	0
19445	0
19455	0
19465	0
19475	0
