ADC Channel - Charge distribution	Counts - Charge distribution
-495	0
-485	0
-475	0
-465	0
-455	0
-445	0
-435	0
-425	0
-415	0
-405	0
-395	0
-385	0
-375	0
-365	0
-355	0
-345	0
-335	0
-325	0
-315	0
-305	0
-295	0
-285	0
-275	0
-265	0
-255	0
-245	0
-235	0
-225	0
-215	0
-205	0
-195	0
-185	0
-175	0
-165	0
-155	0
-145	0
-135	0
-125	0
-115	0
-105	0
-95	0
-85	0
-75	0
-65	0
-55	0
-45	0
-35	0
-25	0
-15	0
-5	0
5	0
15	0
25	0
35	0
45	0
55	0
65	0
75	0
85	0
95	0
105	0
115	0
125	0
135	0
145	0
155	0
165	0
175	0
185	0
195	0
205	0
215	0
225	0
235	0
245	0
255	0
265	0
275	0
285	0
295	0
305	0
315	0
325	0
335	0
345	0
355	0
365	0
375	0
385	0
395	0
405	0
415	0
425	0
435	0
445	0
455	0
465	0
475	0
485	0
495	0
505	0
515	0
525	0
535	0
545	0
555	0
565	0
575	0
585	0
595	0
605	0
615	0
625	0
635	0
645	0
655	0
665	0
675	0
685	0
695	0
705	0
715	0
725	0
735	0
745	0
755	0
765	0
775	0
785	0
795	0
805	0
815	0
825	0
835	0
845	0
855	0
865	0
875	0
885	0
895	0
905	0
915	0
925	0
935	0
945	0
955	1
965	0
975	0
985	0
995	0
1005	0
1015	0
1025	0
1035	0
1045	0
1055	1
1065	0
1075	0
1085	0
1095	0
1105	0
1115	0
1125	0
1135	1
1145	1
1155	0
1165	1
1175	0
1185	0
1195	0
1205	0
1215	1
1225	0
1235	4
1245	2
1255	2
1265	1
1275	3
1285	3
1295	2
1305	1
1315	3
1325	6
1335	6
1345	7
1355	7
1365	4
1375	7
1385	6
1395	8
1405	7
1415	4
1425	7
1435	12
1445	10
1455	15
1465	15
1475	15
1485	13
1495	10
1505	13
1515	15
1525	13
1535	12
1545	31
1555	21
1565	23
1575	21
1585	26
1595	15
1605	28
1615	28
1625	25
1635	31
1645	36
1655	40
1665	26
1675	38
1685	29
1695	42
1705	34
1715	54
1725	39
1735	57
1745	53
1755	54
1765	46
1775	56
1785	55
1795	52
1805	57
1815	53
1825	52
1835	60
1845	56
1855	59
1865	71
1875	68
1885	61
1895	70
1905	60
1915	70
1925	76
1935	62
1945	74
1955	73
1965	69
1975	73
1985	91
1995	70
2005	89
2015	79
2025	79
2035	78
2045	97
2055	90
2065	67
2075	89
2085	94
2095	92
2105	95
2115	96
2125	106
2135	95
2145	101
2155	95
2165	91
2175	96
2185	104
2195	99
2205	94
2215	97
2225	110
2235	98
2245	120
2255	113
2265	112
2275	107
2285	105
2295	102
2305	124
2315	106
2325	121
2335	101
2345	124
2355	106
2365	116
2375	121
2385	117
2395	111
2405	125
2415	121
2425	144
2435	120
2445	126
2455	120
2465	125
2475	122
2485	112
2495	113
2505	122
2515	114
2525	141
2535	123
2545	143
2555	144
2565	138
2575	124
2585	131
2595	163
2605	132
2615	128
2625	130
2635	130
2645	143
2655	138
2665	132
2675	131
2685	148
2695	134
2705	139
2715	147
2725	152
2735	140
2745	131
2755	129
2765	137
2775	137
2785	135
2795	149
2805	124
2815	145
2825	175
2835	136
2845	148
2855	139
2865	143
2875	142
2885	146
2895	121
2905	168
2915	139
2925	129
2935	152
2945	146
2955	142
2965	150
2975	141
2985	150
2995	142
3005	154
3015	131
3025	152
3035	154
3045	140
3055	146
3065	148
3075	156
3085	153
3095	129
3105	159
3115	153
3125	157
3135	162
3145	157
3155	140
3165	167
3175	165
3185	168
3195	132
3205	175
3215	141
3225	138
3235	155
3245	150
3255	141
3265	145
3275	126
3285	136
3295	145
3305	145
3315	153
3325	135
3335	154
3345	147
3355	163
3365	176
3375	156
3385	150
3395	130
3405	160
3415	149
3425	162
3435	144
3445	147
3455	139
3465	163
3475	130
3485	163
3495	172
3505	128
3515	141
3525	153
3535	165
3545	161
3555	146
3565	140
3575	155
3585	148
3595	143
3605	170
3615	164
3625	148
3635	156
3645	159
3655	144
3665	149
3675	181
3685	143
3695	176
3705	145
3715	186
3725	155
3735	151
3745	147
3755	139
3765	154
3775	154
3785	156
3795	168
3805	160
3815	148
3825	174
3835	166
3845	153
3855	139
3865	144
3875	139
3885	156
3895	161
3905	176
3915	151
3925	167
3935	157
3945	147
3955	181
3965	164
3975	134
3985	154
3995	173
4005	148
4015	140
4025	145
4035	154
4045	141
4055	174
4065	172
4075	178
4085	160
4095	166
4105	174
4115	158
4125	160
4135	164
4145	173
4155	169
4165	172
4175	177
4185	164
4195	147
4205	153
4215	153
4225	168
4235	179
4245	155
4255	143
4265	163
4275	161
4285	168
4295	157
4305	137
4315	177
4325	178
4335	155
4345	162
4355	174
4365	158
4375	161
4385	162
4395	175
4405	153
4415	171
4425	178
4435	185
4445	176
4455	175
4465	177
4475	148
4485	172
4495	179
4505	153
4515	150
4525	181
4535	173
4545	177
4555	172
4565	161
4575	170
4585	174
4595	165
4605	183
4615	191
4625	152
4635	213
4645	196
4655	177
4665	150
4675	180
4685	170
4695	193
4705	162
4715	209
4725	173
4735	181
4745	192
4755	200
4765	206
4775	185
4785	170
4795	171
4805	194
4815	196
4825	178
4835	155
4845	195
4855	189
4865	198
4875	189
4885	208
4895	190
4905	175
4915	189
4925	185
4935	189
4945	199
4955	224
4965	211
4975	206
4985	184
4995	194
5005	201
5015	205
5025	199
5035	191
5045	205
5055	196
5065	202
5075	207
5085	184
5095	202
5105	210
5115	197
5125	166
5135	208
5145	213
5155	190
5165	209
5175	196
5185	206
5195	191
5205	196
5215	224
5225	189
5235	192
5245	208
5255	192
5265	198
5275	196
5285	212
5295	188
5305	173
5315	167
5325	185
5335	199
5345	176
5355	197
5365	195
5375	202
5385	207
5395	199
5405	212
5415	201
5425	178
5435	175
5445	167
5455	202
5465	190
5475	193
5485	193
5495	184
5505	181
5515	186
5525	201
5535	198
5545	158
5555	180
5565	168
5575	184
5585	172
5595	195
5605	178
5615	158
5625	170
5635	178
5645	159
5655	167
5665	170
5675	177
