ADC Channel - Charge distribution	Counts - Charge distribution
-495	0
-485	0
-475	0
-465	0
-455	0
-445	0
-435	0
-425	0
-415	0
-405	0
-395	0
-385	0
-375	0
-365	0
-355	0
-345	0
-335	0
-325	0
-315	0
-305	0
-295	0
-285	0
-275	0
-265	0
-255	0
-245	0
-235	0
-225	0
-215	0
-205	0
-195	0
-185	0
-175	0
-165	0
-155	0
-145	0
-135	0
-125	0
-115	0
-105	0
-95	0
-85	0
-75	0
-65	0
-55	0
-45	0
-35	0
-25	0
-15	0
-5	0
5	0
15	0
25	0
35	0
45	0
55	0
65	0
75	0
85	0
95	0
105	0
115	0
125	0
135	0
145	0
155	0
165	0
175	0
185	0
195	0
205	0
215	0
225	0
235	0
245	0
255	0
265	0
275	0
285	0
295	0
305	0
315	0
325	0
335	0
345	0
355	0
365	0
375	0
385	0
395	0
405	0
415	0
425	0
435	0
445	0
455	0
465	0
475	0
485	0
495	0
505	0
515	0
525	0
535	0
545	0
555	0
565	0
575	0
585	0
595	0
605	0
615	0
625	0
635	0
645	0
655	0
665	0
675	0
685	0
695	0
705	0
715	0
725	0
735	0
745	0
755	0
765	0
775	0
785	0
795	0
805	0
815	0
825	0
835	0
845	0
855	0
865	0
875	0
885	0
895	0
905	0
915	0
925	0
935	0
945	0
955	0
965	0
975	0
985	0
995	0
1005	0
1015	0
1025	0
1035	0
1045	0
1055	0
1065	0
1075	0
1085	0
1095	0
1105	0
1115	0
1125	0
1135	0
1145	0
1155	0
1165	0
1175	0
1185	0
1195	0
1205	0
1215	0
1225	0
1235	0
1245	0
1255	0
1265	0
1275	0
1285	0
1295	0
1305	0
1315	0
1325	0
1335	0
1345	0
1355	0
1365	0
1375	0
1385	0
1395	0
1405	0
1415	0
1425	0
1435	0
1445	0
1455	0
1465	0
1475	0
1485	0
1495	0
1505	0
1515	0
1525	0
1535	0
1545	0
1555	0
1565	0
1575	0
1585	0
1595	0
1605	0
1615	0
1625	0
1635	0
1645	0
1655	0
1665	0
1675	0
1685	0
1695	0
1705	0
1715	0
1725	0
1735	0
1745	0
1755	0
1765	0
1775	0
1785	0
1795	0
1805	0
1815	0
1825	0
1835	0
1845	0
1855	0
1865	0
1875	0
1885	0
1895	0
1905	0
1915	0
1925	0
1935	0
1945	0
1955	0
1965	0
1975	0
1985	0
1995	0
2005	0
2015	0
2025	0
2035	0
2045	0
2055	0
2065	0
2075	0
2085	0
2095	0
2105	0
2115	0
2125	0
2135	0
2145	0
2155	0
2165	0
2175	0
2185	0
2195	0
2205	0
2215	0
2225	0
2235	0
2245	0
2255	0
2265	0
2275	0
2285	0
2295	0
2305	0
2315	0
2325	1
2335	0
2345	0
2355	0
2365	0
2375	0
2385	0
2395	0
2405	0
2415	0
2425	1
2435	0
2445	0
2455	0
2465	0
2475	0
2485	1
2495	0
2505	0
2515	0
2525	0
2535	0
2545	1
2555	0
2565	1
2575	1
2585	0
2595	0
2605	1
2615	0
2625	2
2635	1
2645	1
2655	0
2665	0
2675	1
2685	3
2695	1
2705	2
2715	0
2725	0
2735	1
2745	1
2755	1
2765	0
2775	0
2785	1
2795	1
2805	1
2815	0
2825	1
2835	2
2845	0
2855	1
2865	1
2875	1
2885	2
2895	0
2905	0
2915	0
2925	2
2935	2
2945	1
2955	3
2965	4
2975	1
2985	2
2995	0
3005	1
3015	3
3025	1
3035	4
3045	2
3055	2
3065	2
3075	0
3085	3
3095	2
3105	0
3115	6
3125	3
3135	4
3145	0
3155	2
3165	3
3175	2
3185	1
3195	1
3205	5
3215	2
3225	4
3235	2
3245	3
3255	5
3265	0
3275	0
3285	1
3295	4
3305	3
3315	3
3325	3
3335	2
3345	2
3355	9
3365	4
3375	5
3385	8
3395	4
3405	2
3415	7
3425	2
3435	3
3445	4
3455	7
3465	5
3475	3
3485	2
3495	1
3505	2
3515	5
3525	3
3535	3
3545	4
3555	6
3565	7
3575	2
3585	4
3595	9
3605	4
3615	6
3625	5
3635	5
3645	1
3655	7
3665	5
3675	10
3685	6
3695	6
3705	4
3715	4
3725	5
3735	8
3745	2
3755	3
3765	7
3775	4
3785	4
3795	4
3805	3
3815	6
3825	3
3835	7
3845	5
3855	1
3865	6
3875	3
3885	6
3895	7
3905	4
3915	3
3925	5
3935	6
3945	6
3955	3
3965	2
3975	7
3985	6
3995	5
4005	4
4015	7
4025	9
4035	4
4045	7
4055	3
4065	7
4075	5
4085	5
4095	4
4105	5
4115	4
4125	6
4135	2
4145	6
4155	5
4165	5
4175	7
4185	9
4195	2
4205	8
4215	5
4225	4
4235	5
4245	3
4255	2
4265	2
4275	2
4285	5
4295	5
4305	7
4315	14
4325	2
4335	11
4345	7
4355	2
4365	6
4375	9
4385	5
4395	6
4405	11
4415	6
4425	2
4435	5
4445	2
4455	4
4465	4
4475	3
4485	4
4495	7
4505	3
4515	5
4525	6
4535	5
4545	5
4555	4
4565	8
4575	4
4585	8
4595	10
4605	3
4615	4
4625	11
4635	4
4645	4
4655	5
4665	8
4675	6
4685	7
4695	6
4705	4
4715	7
4725	10
4735	6
4745	7
4755	4
4765	7
4775	5
4785	6
4795	3
4805	6
4815	1
4825	2
4835	6
4845	9
4855	4
4865	6
4875	5
4885	7
4895	11
4905	5
4915	4
4925	5
4935	13
4945	7
4955	6
4965	5
4975	9
4985	5
4995	8
5005	11
5015	4
5025	7
5035	5
5045	8
5055	7
5065	4
5075	6
5085	4
5095	5
5105	8
5115	7
5125	8
5135	8
5145	8
5155	10
5165	8
5175	5
5185	6
5195	6
5205	8
5215	9
5225	3
5235	3
5245	7
5255	5
5265	5
5275	10
5285	5
5295	5
5305	6
5315	6
5325	11
5335	6
5345	7
5355	5
5365	3
5375	12
5385	8
5395	4
5405	10
5415	9
5425	3
5435	4
5445	12
5455	12
5465	7
5475	10
5485	6
5495	8
5505	7
5515	5
5525	5
5535	8
5545	12
5555	8
5565	5
5575	8
5585	8
5595	10
5605	7
5615	13
5625	15
5635	14
5645	7
5655	10
5665	10
5675	14
