ADC Channels - Charge distribution	Counts - Charge distribution
-495	1
-485	0
-475	0
-465	0
-455	1
-445	3
-435	3
-425	1
-415	1
-405	1
-395	2
-385	2
-375	1
-365	1
-355	2
-345	4
-335	3
-325	2
-315	3
-305	4
-295	3
-285	1
-275	3
-265	5
-255	5
-245	3
-235	8
-225	3
-215	7
-205	6
-195	9
-185	5
-175	8
-165	5
-155	10
-145	5
-135	9
-125	11
-115	10
-105	15
-95	10
-85	6
-75	11
-65	19
-55	28
-45	38
-35	67
-25	100
-15	122
-5	216
5	308
15	508
25	720
35	1060
45	1497
55	1985
65	2623
75	3226
85	4015
95	4734
105	5563
115	6327
125	6928
135	7580
145	8133
155	8517
165	8654
175	8762
185	8708
195	8528
205	8066
215	7903
225	7280
235	6650
245	6170
255	5835
265	5194
275	4804
285	4215
295	3863
305	3318
315	3141
325	2808
335	2426
345	2289
355	2014
365	1826
375	1626
385	1431
395	1356
405	1198
415	1106
425	959
435	858
445	845
455	791
465	735
475	672
485	650
495	551
505	655
515	573
525	613
535	635
545	665
555	732
565	741
575	804
585	921
595	1019
605	1166
615	1317
625	1379
635	1576
645	1742
655	1949
665	2260
675	2495
685	2724
695	3098
705	3574
715	3828
725	4298
735	4662
745	5134
755	5576
765	6009
775	6822
785	7050
795	7603
805	8063
815	8658
825	9179
835	9735
845	10148
855	10651
865	10875
875	11397
885	11654
895	11946
905	12025
915	12210
925	12264
935	12333
945	12327
955	12111
965	12050
975	11661
985	11131
995	11110
1005	10691
1015	10180
1025	9866
1035	9529
1045	8799
1055	8482
1065	8075
1075	7516
1085	6890
1095	6312
1105	5920
1115	5528
1125	5141
1135	4620
1145	4228
1155	3745
1165	3302
1175	3181
1185	2796
1195	2485
1205	2278
1215	2028
1225	1780
1235	1567
1245	1492
1255	1215
1265	1033
1275	999
1285	876
1295	777
1305	681
1315	561
1325	539
1335	521
1345	454
1355	346
1365	323
1375	297
1385	266
1395	252
1405	194
1415	200
1425	206
1435	212
1445	143
1455	155
1465	172
1475	141
1485	129
1495	133
1505	154
1515	129
1525	137
1535	125
1545	136
1555	138
1565	154
1575	161
1585	159
1595	159
1605	153
1615	145
1625	163
1635	161
1645	174
1655	196
1665	193
1675	208
1685	164
1695	178
1705	182
1715	229
1725	186
1735	215
1745	225
1755	216
1765	243
1775	257
1785	240
1795	245
1805	243
1815	236
1825	260
1835	255
1845	231
1855	265
1865	242
1875	219
1885	256
1895	232
1905	280
1915	269
1925	214
1935	239
1945	212
1955	262
1965	259
1975	214
1985	206
1995	212
2005	198
2015	205
2025	193
2035	165
2045	171
2055	166
2065	164
2075	163
2085	126
2095	135
2105	144
2115	115
2125	124
2135	106
2145	98
2155	84
2165	97
2175	72
2185	65
2195	73
2205	68
2215	63
2225	56
2235	54
2245	46
2255	61
2265	39
2275	37
2285	34
2295	35
2305	24
2315	23
2325	27
2335	22
2345	22
2355	21
2365	9
2375	19
2385	11
2395	10
2405	7
2415	14
2425	14
2435	6
2445	6
2455	7
2465	7
2475	15
2485	9
2495	13
2505	5
2515	4
2525	10
2535	7
2545	2
2555	7
2565	5
2575	6
2585	5
2595	5
2605	3
2615	5
2625	6
2635	5
2645	5
2655	3
2665	2
2675	5
2685	9
2695	8
2705	8
2715	2
2725	7
2735	8
2745	4
2755	6
2765	5
2775	2
2785	10
2795	2
2805	3
2815	1
2825	2
2835	8
2845	4
2855	7
2865	4
2875	5
2885	8
2895	3
2905	6
2915	2
2925	4
2935	2
2945	4
2955	1
2965	3
2975	3
2985	3
2995	5
3005	2
3015	4
3025	2
3035	5
3045	3
3055	1
3065	1
3075	5
3085	0
3095	2
3105	2
3115	4
3125	2
3135	1
3145	1
3155	2
3165	5
3175	2
3185	4
3195	1
3205	1
3215	0
3225	2
3235	2
3245	1
3255	2
3265	2
3275	3
3285	1
3295	2
3305	4
3315	0
3325	2
3335	2
3345	0
3355	1
3365	3
3375	0
3385	0
3395	1
3405	0
3415	0
3425	2
3435	0
3445	1
3455	0
3465	1
3475	1
3485	0
3495	2
3505	2
3515	0
3525	0
3535	1
3545	2
3555	1
3565	0
3575	1
3585	1
3595	1
3605	1
3615	0
3625	1
3635	1
3645	3
3655	2
3665	3
3675	0
3685	0
3695	0
3705	1
3715	2
3725	1
3735	0
3745	2
3755	0
3765	4
3775	0
3785	2
3795	0
3805	2
3815	2
3825	1
3835	0
3845	1
3855	0
3865	1
3875	1
3885	2
3895	2
3905	0
3915	1
3925	1
3935	1
3945	2
3955	0
3965	0
3975	0
3985	1
3995	0
4005	0
4015	2
4025	0
4035	4
4045	3
4055	2
4065	1
4075	0
4085	1
4095	1
4105	0
4115	2
4125	1
4135	0
4145	1
4155	1
4165	0
4175	2
4185	2
4195	0
4205	2
4215	1
4225	1
4235	2
4245	2
4255	0
4265	1
4275	1
4285	2
4295	2
4305	0
4315	1
4325	5
4335	0
4345	0
4355	1
4365	0
4375	2
4385	0
4395	0
4405	0
4415	0
4425	1
4435	1
4445	1
4455	2
4465	2
4475	1
4485	0
4495	3
4505	1
4515	1
4525	1
4535	2
4545	3
4555	1
4565	4
4575	0
4585	3
4595	1
4605	0
4615	2
4625	0
4635	3
4645	2
4655	1
4665	3
4675	2
4685	0
4695	2
4705	2
4715	2
4725	4
4735	0
4745	0
4755	2
4765	0
4775	2
4785	3
4795	1
4805	3
4815	3
4825	4
4835	3
4845	1
4855	1
4865	0
4875	4
4885	1
4895	2
4905	1
4915	2
4925	3
4935	4
4945	2
4955	0
4965	0
4975	4
4985	2
4995	1
5005	4
5015	1
5025	1
5035	3
5045	3
5055	4
5065	2
5075	2
5085	3
5095	2
5105	3
5115	3
5125	1
5135	1
5145	0
5155	2
5165	2
5175	3
5185	3
5195	1
5205	3
5215	3
5225	4
5235	1
5245	4
5255	0
5265	0
5275	3
5285	2
5295	3
5305	2
5315	1
5325	6
5335	2
5345	3
5355	2
5365	1
5375	3
5385	0
5395	1
5405	2
5415	0
5425	1
5435	0
5445	1
5455	1
5465	5
5475	1
5485	1
5495	3
5505	4
5515	0
5525	2
5535	2
5545	1
5555	4
5565	1
5575	0
5585	1
5595	4
5605	4
5615	5
5625	3
5635	3
5645	2
5655	2
5665	0
5675	1
5685	3
5695	1
5705	5
5715	4
5725	3
5735	0
5745	1
5755	2
5765	4
5775	0
5785	3
5795	3
5805	1
5815	0
5825	0
5835	2
5845	4
5855	4
5865	1
5875	6
5885	3
5895	5
5905	4
5915	4
5925	2
5935	4
5945	1
5955	4
5965	6
5975	0
5985	2
5995	4
6005	2
6015	4
6025	0
6035	2
6045	3
6055	3
6065	2
6075	2
6085	2
6095	2
6105	2
6115	2
6125	3
6135	3
6145	1
6155	2
6165	2
6175	4
6185	0
6195	1
6205	2
6215	3
6225	1
6235	2
6245	2
6255	1
6265	0
6275	3
6285	4
6295	2
6305	1
6315	2
6325	1
6335	5
6345	0
6355	2
6365	3
6375	4
6385	0
6395	1
6405	2
6415	0
6425	1
6435	3
6445	3
6455	1
6465	0
6475	0
6485	3
6495	4
6505	3
6515	0
6525	2
6535	3
6545	0
6555	2
6565	2
6575	3
6585	4
6595	5
6605	3
6615	2
6625	3
6635	1
6645	4
6655	3
6665	2
6675	4
6685	2
6695	2
6705	2
6715	0
6725	0
6735	3
6745	2
6755	3
6765	2
6775	2
6785	2
6795	4
6805	1
6815	2
6825	2
6835	3
6845	3
6855	4
6865	0
6875	3
6885	0
6895	1
6905	3
6915	4
6925	3
6935	5
6945	1
6955	1
6965	1
6975	1
6985	3
6995	3
7005	2
7015	3
7025	5
7035	3
7045	1
7055	2
7065	4
7075	2
7085	0
7095	1
7105	2
7115	1
7125	3
7135	5
7145	1
7155	2
7165	4
7175	3
7185	5
7195	5
7205	4
7215	3
7225	0
7235	2
7245	0
7255	2
7265	0
7275	3
7285	3
7295	1
7305	2
7315	2
7325	3
7335	2
7345	2
7355	3
7365	5
7375	2
7385	2
7395	4
7405	1
7415	1
7425	0
7435	0
7445	3
7455	1
7465	1
7475	2
7485	1
7495	3
7505	1
7515	3
7525	1
7535	3
7545	4
7555	4
7565	0
7575	1
7585	3
7595	2
7605	4
7615	3
7625	4
7635	1
7645	4
7655	1
7665	1
7675	2
7685	5
7695	2
7705	2
7715	3
7725	4
7735	2
7745	3
7755	2
7765	3
7775	2
7785	4
7795	0
7805	3
7815	2
7825	1
7835	3
7845	3
7855	1
7865	4
7875	1
7885	1
7895	2
7905	1
7915	5
7925	0
7935	0
7945	2
7955	4
7965	0
7975	3
7985	2
7995	2
8005	1
8015	3
8025	3
8035	6
8045	2
8055	0
8065	3
8075	3
8085	4
8095	4
8105	2
8115	0
8125	3
8135	4
8145	1
8155	1
8165	0
8175	2
8185	1
8195	0
8205	1
8215	3
8225	3
8235	0
8245	0
8255	1
8265	1
8275	0
8285	0
8295	2
8305	1
8315	2
8325	3
8335	2
8345	1
8355	1
8365	0
8375	4
8385	1
8395	1
8405	1
8415	1
8425	4
8435	1
8445	2
8455	1
8465	0
8475	1
8485	0
8495	4
8505	0
8515	4
8525	1
8535	2
8545	6
8555	0
8565	4
8575	3
8585	2
8595	3
8605	4
8615	0
8625	0
8635	0
8645	1
8655	3
8665	0
8675	0
8685	1
8695	3
8705	4
8715	1
8725	3
8735	2
8745	1
8755	3
8765	2
8775	2
8785	2
8795	0
8805	1
8815	0
8825	4
8835	2
8845	0
8855	0
8865	3
8875	2
8885	1
8895	2
8905	1
8915	1
8925	3
8935	2
8945	3
8955	4
8965	0
8975	1
8985	3
8995	2
9005	2
9015	1
9025	2
9035	2
9045	2
9055	2
9065	1
9075	0
9085	1
9095	1
9105	3
9115	1
9125	7
9135	3
9145	3
9155	2
9165	0
9175	2
9185	2
9195	2
9205	3
9215	1
9225	2
9235	0
9245	2
9255	3
9265	1
9275	7
9285	3
9295	1
9305	4
9315	1
9325	1
9335	4
9345	3
9355	1
9365	1
9375	3
9385	1
9395	3
9405	2
9415	2
9425	2
9435	2
9445	2
9455	3
9465	1
9475	4
9485	0
9495	3
9505	0
9515	3
9525	3
9535	0
9545	3
9555	0
9565	1
9575	2
9585	4
9595	3
9605	1
9615	3
9625	3
9635	0
9645	4
9655	1
9665	0
9675	1
9685	2
9695	2
9705	1
9715	2
9725	3
9735	0
9745	0
9755	2
9765	0
9775	2
9785	1
9795	1
9805	1
9815	2
9825	4
9835	2
9845	1
9855	0
9865	3
9875	1
9885	1
9895	2
9905	4
9915	4
9925	3
9935	1
9945	3
9955	4
9965	3
9975	2
9985	1
9995	0
10005	1
10015	4
10025	1
10035	2
10045	2
10055	4
10065	3
10075	3
10085	3
10095	4
10105	0
10115	1
10125	4
10135	4
10145	2
10155	4
10165	2
10175	0
10185	0
10195	1
10205	2
10215	0
10225	0
10235	3
10245	0
10255	1
10265	0
10275	4
10285	0
10295	3
10305	1
10315	0
10325	1
10335	1
10345	1
10355	0
10365	3
10375	2
10385	1
10395	1
10405	5
10415	3
10425	1
10435	1
10445	3
10455	1
10465	1
10475	2
10485	2
10495	2
10505	2
10515	3
10525	5
10535	2
10545	4
10555	1
10565	1
10575	0
10585	3
10595	2
10605	2
10615	0
10625	3
10635	1
10645	5
10655	0
10665	3
10675	1
10685	0
10695	2
10705	0
10715	2
10725	3
10735	1
10745	1
10755	1
10765	0
10775	1
10785	2
10795	2
10805	1
10815	4
10825	1
10835	1
10845	1
10855	1
10865	1
10875	1
10885	1
10895	0
10905	1
10915	2
10925	2
10935	0
10945	1
10955	3
10965	0
10975	0
10985	3
10995	1
11005	2
11015	2
11025	1
11035	1
11045	0
11055	1
11065	1
11075	4
11085	1
11095	1
11105	1
11115	1
11125	3
11135	1
11145	4
11155	2
11165	3
11175	0
11185	3
11195	0
11205	0
11215	1
11225	0
11235	3
11245	3
11255	3
11265	0
11275	3
11285	2
11295	1
11305	1
11315	0
11325	1
11335	0
11345	1
11355	2
11365	2
11375	1
11385	1
11395	4
11405	1
11415	1
11425	0
11435	1
11445	0
11455	1
11465	1
11475	1
11485	2
11495	2
11505	2
11515	1
11525	1
11535	0
11545	2
11555	0
11565	2
11575	2
11585	3
11595	0
11605	1
11615	1
11625	1
11635	1
11645	0
11655	4
11665	0
11675	1
11685	2
11695	0
11705	1
11715	2
11725	3
11735	1
11745	1
11755	0
11765	1
11775	1
11785	2
11795	2
11805	2
11815	2
11825	1
11835	1
11845	0
11855	2
11865	2
11875	4
11885	1
11895	2
11905	2
11915	2
11925	0
11935	2
11945	1
11955	1
11965	0
11975	0
11985	0
11995	0
12005	1
12015	1
12025	0
12035	1
12045	0
12055	2
12065	2
12075	1
12085	1
12095	1
12105	3
12115	0
12125	0
12135	1
12145	0
12155	0
12165	1
12175	1
12185	2
12195	1
12205	0
12215	1
12225	1
12235	3
12245	0
12255	0
12265	0
12275	0
12285	1
12295	1
12305	0
12315	0
12325	2
12335	0
12345	0
12355	1
12365	2
12375	2
12385	0
12395	2
12405	2
12415	1
12425	1
12435	0
12445	1
12455	2
12465	1
12475	0
12485	0
12495	1
12505	1
12515	0
12525	3
12535	1
12545	1
12555	1
12565	1
12575	1
12585	1
12595	1
12605	0
12615	1
12625	3
12635	0
12645	1
12655	1
12665	0
12675	2
12685	1
12695	2
12705	1
12715	3
12725	2
12735	0
12745	2
12755	0
12765	0
12775	1
12785	0
12795	0
12805	0
12815	1
12825	1
12835	0
12845	1
12855	0
12865	2
12875	1
12885	2
12895	1
12905	3
12915	2
12925	0
12935	1
12945	0
12955	1
12965	0
12975	0
12985	4
12995	0
13005	2
13015	1
13025	1
13035	0
13045	0
13055	2
13065	0
13075	0
13085	1
13095	0
13105	1
13115	1
13125	1
13135	0
13145	4
13155	0
13165	0
13175	0
13185	0
13195	0
13205	1
13215	0
13225	2
13235	2
13245	1
13255	1
13265	0
13275	0
13285	0
13295	0
13305	0
13315	0
13325	2
13335	2
13345	1
13355	0
13365	0
13375	1
13385	0
13395	2
13405	0
13415	0
13425	2
13435	0
13445	1
13455	0
13465	1
13475	1
13485	1
13495	1
13505	1
13515	0
13525	2
13535	0
13545	1
13555	1
13565	1
13575	0
13585	0
13595	0
13605	1
13615	0
13625	1
13635	2
13645	0
13655	0
13665	0
13675	0
13685	0
13695	0
13705	1
13715	0
13725	0
13735	0
13745	2
13755	0
13765	0
13775	1
13785	0
13795	0
13805	0
13815	0
13825	1
13835	3
13845	0
13855	1
13865	1
13875	0
13885	0
13895	0
13905	0
13915	2
13925	1
13935	0
13945	0
13955	1
13965	0
13975	2
13985	1
13995	0
14005	0
14015	1
14025	0
14035	0
14045	0
14055	0
14065	0
14075	1
14085	0
14095	0
14105	1
14115	1
14125	0
14135	1
14145	0
14155	1
14165	0
14175	1
14185	1
14195	2
14205	1
14215	0
14225	0
14235	0
14245	1
14255	0
14265	0
14275	0
14285	0
14295	1
14305	0
14315	0
14325	0
14335	0
14345	0
14355	1
14365	0
14375	1
14385	0
14395	0
14405	0
14415	0
14425	1
14435	0
14445	3
14455	1
14465	1
14475	1
14485	2
14495	0
14505	0
14515	0
14525	1
14535	0
14545	1
14555	1
14565	0
14575	0
14585	1
14595	1
14605	0
14615	0
14625	0
14635	0
14645	0
14655	2
14665	0
14675	2
14685	0
14695	0
14705	1
14715	0
14725	0
14735	0
14745	1
14755	0
14765	0
14775	0
14785	0
14795	1
14805	0
14815	1
14825	0
14835	1
14845	0
14855	0
14865	0
14875	1
14885	0
14895	0
14905	0
14915	0
14925	0
14935	0
14945	1
14955	0
14965	0
14975	1
14985	0
14995	0
15005	0
15015	1
15025	1
15035	0
15045	1
15055	1
15065	0
15075	0
15085	0
15095	1
15105	0
15115	0
15125	0
15135	0
15145	0
15155	0
15165	0
15175	0
15185	0
15195	2
15205	0
15215	1
15225	0
15235	0
15245	0
15255	0
15265	0
15275	0
15285	0
15295	0
15305	0
15315	0
15325	0
15335	0
15345	2
15355	2
15365	1
15375	0
15385	1
15395	1
15405	1
15415	1
15425	0
15435	1
15445	0
15455	1
15465	0
15475	0
15485	0
15495	1
15505	0
15515	1
15525	0
15535	0
15545	0
15555	0
15565	0
15575	0
15585	0
15595	1
15605	0
15615	0
15625	1
15635	0
15645	1
15655	0
15665	0
15675	0
15685	0
15695	0
15705	1
15715	0
15725	0
15735	1
15745	0
15755	0
15765	0
15775	0
15785	1
15795	0
15805	1
15815	2
15825	0
15835	0
15845	0
15855	2
15865	0
15875	0
15885	0
15895	0
15905	1
15915	0
15925	0
15935	0
15945	0
15955	1
15965	1
15975	0
15985	0
15995	1
16005	0
16015	1
16025	0
16035	1
16045	0
16055	0
16065	0
16075	0
16085	0
16095	0
16105	0
16115	0
16125	0
16135	0
16145	0
16155	0
16165	0
16175	0
16185	0
16195	0
16205	0
16215	0
16225	0
16235	0
16245	0
16255	0
16265	1
16275	0
16285	0
16295	0
16305	0
16315	0
16325	0
16335	0
16345	0
16355	1
16365	0
16375	0
16385	0
16395	0
16405	0
16415	0
16425	1
16435	0
16445	0
16455	0
16465	0
16475	0
16485	0
16495	0
16505	0
16515	0
16525	0
16535	0
16545	1
16555	0
16565	0
16575	0
16585	0
16595	0
16605	0
16615	0
16625	0
16635	0
16645	0
16655	0
16665	0
16675	0
16685	0
16695	0
16705	0
16715	0
16725	0
16735	0
16745	0
16755	0
16765	0
16775	0
16785	0
16795	0
16805	0
16815	0
16825	0
16835	0
16845	0
16855	0
16865	0
16875	0
16885	0
16895	0
16905	0
16915	0
16925	1
16935	0
16945	0
16955	0
16965	0
16975	0
16985	0
16995	0
17005	0
17015	0
17025	0
17035	0
17045	2
17055	0
17065	0
17075	0
17085	1
17095	0
17105	0
17115	0
17125	0
17135	0
17145	0
17155	0
17165	0
17175	0
17185	0
17195	0
17205	0
17215	0
17225	0
17235	0
17245	0
17255	0
17265	0
17275	0
17285	0
17295	0
17305	0
17315	0
17325	0
17335	0
17345	0
17355	0
17365	0
17375	0
17385	0
17395	0
17405	0
17415	0
17425	0
17435	0
17445	0
17455	0
17465	0
17475	0
17485	0
17495	1
17505	2
17515	0
17525	0
17535	0
17545	0
17555	0
17565	0
17575	0
17585	0
17595	0
17605	0
17615	0
17625	0
17635	0
17645	0
17655	0
17665	0
17675	0
17685	0
17695	0
17705	0
17715	0
17725	0
17735	0
17745	0
17755	0
17765	0
17775	0
17785	0
17795	0
17805	0
17815	0
17825	0
17835	0
17845	0
17855	0
17865	0
17875	0
17885	0
17895	0
17905	0
17915	0
17925	0
17935	0
17945	0
17955	0
17965	0
17975	0
17985	0
17995	0
18005	1
18015	0
18025	0
18035	0
18045	0
18055	0
18065	0
18075	0
18085	0
18095	0
18105	0
18115	0
18125	0
18135	0
18145	0
18155	0
18165	0
18175	0
18185	0
18195	0
18205	0
18215	0
18225	0
18235	0
18245	0
18255	0
18265	0
18275	0
18285	0
18295	0
18305	0
18315	0
18325	0
18335	0
18345	0
18355	0
18365	0
18375	0
18385	0
18395	0
18405	0
18415	0
18425	0
18435	0
18445	0
18455	0
18465	0
18475	0
18485	0
18495	0
18505	0
18515	0
18525	0
18535	0
18545	0
18555	0
18565	0
18575	0
18585	0
18595	0
18605	0
18615	0
18625	0
18635	0
18645	0
18655	0
18665	0
18675	0
18685	0
18695	0
18705	0
18715	0
18725	0
18735	0
18745	0
18755	0
18765	0
18775	0
18785	0
18795	0
18805	0
18815	0
18825	0
18835	0
18845	0
18855	0
18865	0
18875	0
18885	0
18895	0
18905	0
18915	0
18925	0
18935	0
18945	0
18955	0
18965	0
18975	0
18985	0
18995	0
19005	0
19015	0
19025	0
19035	0
19045	0
19055	0
19065	0
19075	0
19085	0
19095	0
19105	0
19115	0
19125	0
19135	0
19145	0
19155	0
19165	0
19175	0
19185	0
19195	0
19205	0
19215	0
19225	0
19235	0
19245	0
19255	0
19265	0
19275	0
19285	0
19295	0
19305	0
19315	0
19325	0
19335	0
19345	0
19355	0
19365	0
19375	0
