ADC Channels - Charge distribution	Counts - Charge distribution
-495	0
-485	0
-475	0
-465	0
-455	0
-445	0
-435	0
-425	0
-415	0
-405	0
-395	0
-385	0
-375	0
-365	0
-355	0
-345	0
-335	0
-325	0
-315	0
-305	0
-295	0
-285	0
-275	0
-265	0
-255	0
-245	0
-235	0
-225	0
-215	0
-205	0
-195	0
-185	0
-175	0
-165	0
-155	0
-145	0
-135	0
-125	0
-115	0
-105	0
-95	0
-85	0
-75	0
-65	0
-55	0
-45	0
-35	0
-25	0
-15	0
-5	0
5	0
15	0
25	0
35	0
45	0
55	0
65	0
75	0
85	0
95	0
105	0
115	0
125	0
135	0
145	0
155	0
165	0
175	0
185	0
195	0
205	0
215	0
225	0
235	0
245	0
255	0
265	0
275	0
285	0
295	0
305	0
315	0
325	0
335	0
345	0
355	0
365	1
375	1
385	0
395	1
405	1
415	3
425	6
435	8
445	4
455	12
465	7
475	12
485	16
495	15
505	15
515	25
525	24
535	26
545	18
555	25
565	42
575	36
585	28
595	35
605	43
615	37
625	35
635	41
645	30
655	34
665	28
675	32
685	26
695	37
705	28
715	18
725	21
735	30
745	30
755	23
765	34
775	26
785	34
795	19
805	26
815	26
825	34
835	28
845	30
855	17
865	22
875	28
885	37
895	38
905	19
915	26
925	24
935	25
945	31
955	13
965	32
975	12
985	22
995	18
1005	17
1015	22
1025	19
1035	31
1045	21
1055	17
1065	24
1075	24
1085	21
1095	18
1105	24
1115	21
1125	26
1135	26
1145	24
1155	17
1165	22
1175	18
1185	24
1195	19
1205	16
1215	21
1225	36
1235	22
1245	24
1255	15
1265	14
1275	22
1285	19
1295	21
1305	25
1315	24
1325	21
1335	19
1345	19
1355	20
1365	22
1375	21
1385	17
1395	25
1405	20
1415	16
1425	26
1435	25
1445	19
1455	29
1465	27
1475	25
1485	22
1495	25
1505	18
1515	22
1525	12
1535	20
1545	20
1555	23
1565	30
1575	27
1585	23
1595	19
1605	17
1615	18
1625	24
1635	25
1645	33
1655	27
1665	20
1675	21
1685	13
1695	29
1705	24
1715	22
1725	20
1735	19
1745	23
1755	17
1765	25
1775	20
1785	21
1795	21
1805	16
1815	15
1825	20
1835	27
1845	17
1855	33
1865	26
1875	16
1885	22
1895	21
1905	24
1915	21
1925	23
1935	18
1945	19
1955	10
1965	20
1975	22
1985	25
1995	19
2005	18
2015	17
2025	25
2035	21
2045	15
2055	20
2065	24
2075	15
2085	18
2095	24
2105	23
2115	28
2125	33
2135	16
2145	28
2155	14
2165	17
2175	25
2185	16
2195	22
2205	17
2215	19
2225	15
2235	24
2245	19
2255	24
2265	26
2275	22
2285	17
2295	24
2305	22
2315	16
2325	15
2335	21
2345	20
2355	29
2365	24
2375	15
2385	16
2395	17
2405	24
2415	17
2425	21
2435	16
2445	15
2455	17
2465	19
2475	21
2485	23
2495	18
2505	21
2515	19
2525	23
2535	25
2545	17
2555	21
2565	25
2575	18
2585	23
2595	17
2605	29
2615	22
2625	23
2635	18
2645	25
2655	29
2665	26
2675	27
2685	30
2695	19
2705	21
2715	25
2725	17
2735	17
2745	20
2755	23
2765	28
2775	20
2785	21
2795	19
2805	19
2815	23
2825	24
2835	29
2845	18
2855	27
2865	33
2875	17
2885	26
2895	21
2905	18
2915	28
2925	20
2935	18
2945	28
2955	26
2965	21
2975	19
2985	21
2995	26
3005	14
3015	21
3025	30
3035	25
3045	33
3055	33
3065	17
3075	23
3085	24
3095	18
3105	25
3115	21
3125	27
3135	24
3145	31
3155	24
3165	23
3175	30
3185	24
3195	23
3205	30
3215	32
3225	25
3235	31
3245	19
3255	32
3265	14
3275	18
3285	19
3295	24
3305	29
3315	24
3325	13
3335	28
3345	20
3355	25
3365	21
3375	30
3385	20
3395	33
3405	25
3415	19
3425	30
3435	28
3445	23
3455	27
3465	18
3475	12
3485	25
3495	16
3505	30
3515	19
3525	21
3535	25
3545	18
3555	30
3565	26
3575	26
3585	28
3595	29
3605	16
3615	24
3625	27
3635	19
3645	19
3655	26
3665	25
3675	24
3685	16
3695	25
3705	18
3715	21
3725	21
3735	20
3745	20
3755	26
3765	21
3775	18
3785	17
3795	26
3805	27
3815	13
3825	19
3835	17
3845	17
3855	25
3865	15
3875	25
3885	18
3895	24
3905	24
3915	20
3925	21
3935	21
3945	17
3955	17
3965	17
3975	21
3985	18
3995	23
4005	18
4015	15
4025	14
4035	24
4045	18
4055	18
4065	21
4075	33
4085	17
4095	17
4105	16
4115	22
4125	11
4135	18
4145	16
4155	13
4165	11
4175	19
4185	21
4195	13
4205	12
4215	20
4225	23
4235	16
4245	24
4255	19
4265	12
4275	18
4285	19
4295	23
4305	18
4315	17
4325	19
4335	18
4345	27
4355	20
4365	25
4375	20
4385	23
4395	17
4405	15
4415	22
4425	22
4435	15
4445	20
4455	21
4465	17
4475	27
4485	15
4495	14
4505	19
4515	22
4525	15
4535	23
4545	12
4555	8
4565	23
4575	23
4585	18
4595	21
4605	6
4615	13
4625	18
4635	13
4645	27
4655	20
4665	22
4675	17
4685	13
4695	19
4705	14
4715	17
4725	23
4735	20
4745	20
4755	18
4765	17
4775	23
4785	19
4795	19
4805	17
4815	18
4825	15
4835	21
4845	15
4855	15
4865	15
4875	24
4885	14
4895	13
4905	19
4915	16
4925	19
4935	19
4945	23
4955	16
4965	15
4975	22
4985	20
4995	21
5005	20
5015	14
5025	16
5035	15
5045	21
5055	13
5065	20
5075	9
5085	18
5095	12
5105	22
5115	20
5125	18
5135	16
5145	20
5155	19
5165	13
5175	17
5185	10
5195	20
5205	14
5215	18
5225	11
5235	18
5245	14
5255	21
5265	21
5275	22
5285	13
5295	16
5305	17
5315	17
5325	20
5335	16
5345	14
5355	17
5365	18
5375	16
5385	19
5395	14
5405	7
5415	10
5425	13
5435	17
5445	15
5455	25
5465	14
5475	12
5485	21
5495	16
5505	20
5515	21
5525	16
5535	16
5545	21
5555	16
5565	25
5575	12
5585	20
5595	20
5605	22
5615	20
5625	16
5635	14
5645	14
5655	13
5665	19
5675	15
