ADC Channels - Charge distribution	Counts - Charge distribution
-495	0
-485	0
-475	0
-465	0
-455	0
-445	0
-435	0
-425	0
-415	0
-405	0
-395	0
-385	0
-375	1
-365	0
-355	0
-345	0
-335	0
-325	0
-315	0
-305	0
-295	0
-285	0
-275	0
-265	0
-255	0
-245	0
-235	0
-225	0
-215	0
-205	0
-195	0
-185	0
-175	0
-165	0
-155	0
-145	0
-135	0
-125	0
-115	0
-105	0
-95	0
-85	0
-75	0
-65	0
-55	0
-45	0
-35	0
-25	0
-15	0
-5	0
5	1
15	0
25	0
35	0
45	1
55	1
65	1
75	1
85	1
95	6
105	4
115	5
125	6
135	13
145	7
155	9
165	11
175	13
185	11
195	17
205	17
215	11
225	17
235	16
245	16
255	29
265	18
275	22
285	26
295	14
305	23
315	20
325	15
335	17
345	18
355	24
365	23
375	27
385	18
395	25
405	17
415	27
425	20
435	18
445	26
455	24
465	19
475	16
485	16
495	20
505	20
515	23
525	16
535	23
545	29
555	14
565	17
575	19
585	17
595	12
605	25
615	19
625	18
635	25
645	16
655	13
665	19
675	23
685	31
695	16
705	21
715	13
725	18
735	21
745	19
755	26
765	13
775	18
785	25
795	25
805	24
815	21
825	18
835	22
845	14
855	17
865	21
875	16
885	20
895	21
905	19
915	29
925	20
935	15
945	18
955	14
965	16
975	16
985	19
995	19
1005	25
1015	20
1025	16
1035	17
1045	17
1055	22
1065	19
1075	14
1085	22
1095	16
1105	19
1115	18
1125	21
1135	25
1145	28
1155	20
1165	23
1175	20
1185	16
1195	25
1205	27
1215	15
1225	20
1235	19
1245	23
1255	23
1265	19
1275	16
1285	23
1295	22
1305	22
1315	15
1325	31
1335	26
1345	25
1355	28
1365	25
1375	23
1385	25
1395	29
1405	15
1415	12
1425	25
1435	18
1445	28
1455	27
1465	32
1475	29
1485	23
1495	13
1505	14
1515	24
1525	28
1535	24
1545	13
1555	20
1565	32
1575	34
1585	19
1595	32
1605	21
1615	21
1625	28
1635	29
1645	24
1655	29
1665	16
1675	15
1685	26
1695	23
1705	35
1715	32
1725	25
1735	21
1745	33
1755	28
1765	25
1775	30
1785	26
1795	25
1805	23
1815	25
1825	28
1835	23
1845	30
1855	23
1865	22
1875	25
1885	26
1895	28
1905	20
1915	21
1925	23
1935	25
1945	23
1955	23
1965	20
1975	26
1985	36
1995	29
2005	16
2015	32
2025	22
2035	30
2045	31
2055	33
2065	20
2075	18
2085	27
2095	34
2105	26
2115	30
2125	27
2135	30
2145	23
2155	33
2165	22
2175	24
2185	18
2195	35
2205	20
2215	31
2225	26
2235	31
2245	22
2255	26
2265	29
2275	36
2285	28
2295	20
2305	42
2315	24
2325	26
2335	31
2345	26
2355	39
2365	29
2375	36
2385	37
2395	31
2405	33
2415	32
2425	27
2435	35
2445	33
2455	30
2465	25
2475	22
2485	21
2495	26
2505	28
2515	33
2525	36
2535	27
2545	27
2555	29
2565	27
2575	27
2585	34
2595	29
2605	40
2615	29
2625	28
2635	32
2645	38
2655	33
2665	30
2675	29
2685	34
2695	32
2705	36
2715	29
2725	28
2735	38
2745	39
2755	36
2765	48
2775	38
2785	40
2795	35
2805	34
2815	33
2825	34
2835	30
2845	36
2855	40
2865	35
2875	37
2885	39
2895	49
2905	42
2915	40
2925	28
2935	41
2945	38
2955	44
2965	37
2975	44
2985	48
2995	48
3005	52
3015	27
3025	47
3035	33
3045	47
3055	42
3065	42
3075	49
3085	35
3095	51
3105	39
3115	53
3125	52
3135	39
3145	37
3155	37
3165	35
3175	52
3185	47
3195	62
3205	42
3215	46
3225	56
3235	50
3245	34
3255	38
3265	42
3275	50
3285	42
3295	37
3305	44
3315	43
3325	45
3335	43
3345	38
3355	47
3365	35
3375	43
3385	41
3395	36
3405	57
3415	41
3425	37
3435	40
3445	40
3455	46
3465	40
3475	41
3485	51
3495	40
3505	37
3515	48
3525	35
3535	38
3545	38
3555	40
3565	38
3575	46
3585	36
3595	25
3605	37
3615	47
3625	45
3635	39
3645	49
3655	43
3665	32
3675	40
3685	40
3695	37
3705	55
3715	35
3725	35
3735	38
3745	38
3755	26
3765	34
3775	40
3785	33
3795	40
3805	45
3815	29
3825	33
3835	44
3845	39
3855	38
3865	34
3875	30
3885	39
3895	25
3905	37
3915	31
3925	35
3935	41
3945	27
3955	36
3965	28
3975	29
3985	25
3995	30
4005	24
4015	24
4025	36
4035	40
4045	32
4055	37
4065	29
4075	33
4085	18
4095	40
4105	32
4115	27
4125	34
4135	38
4145	36
4155	26
4165	34
4175	38
4185	31
4195	31
4205	32
4215	34
4225	29
4235	25
4245	25
4255	39
4265	25
4275	35
4285	31
4295	21
4305	26
4315	24
4325	27
4335	29
4345	29
4355	32
4365	25
4375	27
4385	28
4395	23
4405	31
4415	27
4425	27
4435	30
4445	28
4455	16
4465	27
4475	25
4485	23
4495	25
4505	22
4515	31
4525	26
4535	30
4545	24
4555	38
4565	22
4575	31
4585	24
4595	27
4605	28
4615	24
4625	37
4635	21
4645	24
4655	27
4665	27
4675	34
4685	37
4695	38
4705	26
4715	31
4725	37
4735	27
4745	26
4755	29
4765	34
4775	19
4785	14
4795	36
4805	26
4815	23
4825	23
4835	25
4845	30
4855	37
4865	29
4875	24
4885	16
4895	23
4905	35
4915	22
4925	20
4935	30
4945	31
4955	33
4965	30
4975	34
4985	28
4995	19
5005	27
5015	18
5025	26
5035	28
5045	32
5055	22
5065	37
5075	24
5085	27
5095	25
5105	23
5115	28
5125	26
5135	29
5145	25
5155	38
5165	28
5175	24
5185	39
5195	29
5205	31
5215	17
5225	21
5235	33
5245	28
5255	21
5265	26
5275	23
5285	27
5295	25
5305	26
5315	18
5325	27
5335	29
5345	33
5355	30
5365	31
5375	23
5385	14
5395	24
5405	28
5415	31
5425	28
5435	19
5445	31
5455	35
5465	26
5475	20
5485	29
5495	31
5505	22
5515	29
5525	23
5535	21
5545	32
5555	34
5565	27
5575	24
5585	38
5595	27
5605	30
5615	27
5625	27
5635	28
5645	32
5655	30
5665	21
5675	24
