ADC Channels - Charge distribution	Counts - Charge distribution
-495	2
-485	0
-475	2
-465	1
-455	0
-445	3
-435	1
-425	4
-415	2
-405	2
-395	2
-385	2
-375	3
-365	5
-355	2
-345	0
-335	0
-325	3
-315	0
-305	0
-295	1
-285	1
-275	1
-265	2
-255	0
-245	1
-235	1
-225	1
-215	1
-205	1
-195	0
-185	2
-175	2
-165	3
-155	1
-145	2
-135	0
-125	0
-115	2
-105	1
-95	1
-85	2
-75	2
-65	1
-55	3
-45	3
-35	1
-25	3
-15	14
-5	15
5	19
15	32
25	31
35	41
45	66
55	66
65	92
75	102
85	123
95	171
105	173
115	183
125	197
135	207
145	233
155	243
165	246
175	271
185	263
195	243
205	261
215	260
225	279
235	252
245	264
255	263
265	256
275	258
285	251
295	238
305	294
315	267
325	304
335	258
345	258
355	256
365	252
375	280
385	283
395	289
405	303
415	239
425	265
435	287
445	268
455	281
465	274
475	241
485	298
495	286
505	275
515	272
525	311
535	279
545	267
555	260
565	263
575	248
585	276
595	274
605	269
615	280
625	270
635	256
645	303
655	267
665	274
675	249
685	305
695	279
705	254
715	257
725	246
735	254
745	246
755	288
765	257
775	214
785	249
795	252
805	250
815	232
825	228
835	268
845	271
855	270
865	260
875	256
885	263
895	295
905	285
915	291
925	263
935	288
945	273
955	288
965	302
975	274
985	309
995	320
1005	321
1015	297
1025	330
1035	333
1045	296
1055	307
1065	317
1075	328
1085	290
1095	346
1105	294
1115	295
1125	305
1135	293
1145	335
1155	295
1165	269
1175	281
1185	267
1195	293
1205	251
1215	264
1225	272
1235	283
1245	241
1255	220
1265	249
1275	263
1285	267
1295	227
1305	244
1315	262
1325	212
1335	250
1345	207
1355	198
1365	233
1375	205
1385	223
1395	245
1405	215
1415	237
1425	231
1435	202
1445	229
1455	213
1465	208
1475	190
1485	211
1495	208
1505	208
1515	201
1525	190
1535	216
1545	208
1555	174
1565	216
1575	192
1585	194
1595	200
1605	221
1615	201
1625	184
1635	172
1645	191
1655	180
1665	190
1675	174
1685	187
1695	177
1705	198
1715	211
1725	197
1735	206
1745	195
1755	189
1765	212
1775	187
1785	202
1795	199
1805	180
1815	203
1825	210
1835	189
1845	209
1855	209
1865	157
1875	186
1885	226
1895	196
1905	187
1915	159
1925	184
1935	170
1945	178
1955	178
1965	182
1975	205
1985	175
1995	188
2005	173
2015	187
2025	169
2035	178
2045	186
2055	164
2065	163
2075	186
2085	181
2095	177
2105	157
2115	166
2125	183
2135	166
2145	175
2155	210
2165	168
2175	167
2185	176
2195	165
2205	165
2215	175
2225	172
2235	146
2245	154
2255	177
2265	161
2275	167
2285	182
2295	163
2305	183
2315	164
2325	171
2335	172
2345	147
2355	149
2365	148
2375	164
2385	155
2395	150
2405	160
2415	137
2425	136
2435	146
2445	162
2455	172
2465	155
2475	162
2485	152
2495	157
2505	165
2515	128
2525	143
2535	153
2545	149
2555	119
2565	161
2575	142
2585	129
2595	124
2605	138
2615	152
2625	112
2635	113
2645	128
2655	118
2665	106
2675	113
2685	117
2695	98
2705	109
2715	119
2725	104
2735	87
2745	84
2755	84
2765	96
2775	88
2785	85
2795	79
2805	72
2815	67
2825	56
2835	61
2845	74
2855	49
2865	60
2875	58
2885	66
2895	57
2905	60
2915	50
2925	48
2935	46
2945	35
2955	33
2965	45
2975	46
2985	49
2995	52
3005	42
3015	57
3025	42
3035	50
3045	59
3055	53
3065	59
3075	54
3085	43
3095	51
3105	65
3115	53
3125	82
3135	62
3145	58
3155	84
3165	93
3175	91
3185	89
3195	90
3205	114
3215	114
3225	131
3235	94
3245	115
3255	119
3265	114
3275	127
3285	144
3295	148
3305	136
3315	158
3325	127
3335	165
3345	178
3355	167
3365	165
3375	192
3385	213
3395	187
3405	223
3415	219
3425	231
3435	246
3445	253
3455	263
3465	277
3475	267
3485	324
3495	320
3505	346
3515	327
3525	368
3535	393
3545	458
3555	442
3565	433
3575	514
3585	507
3595	537
3605	527
3615	576
3625	605
3635	618
3645	643
3655	650
3665	684
3675	678
3685	704
3695	727
3705	701
3715	709
3725	760
3735	741
3745	792
3755	770
3765	775
3775	748
3785	805
3795	751
3805	700
3815	778
3825	680
3835	720
3845	706
3855	640
3865	624
3875	618
3885	574
3895	598
3905	534
3915	576
3925	485
3935	506
3945	433
3955	416
3965	414
3975	344
3985	380
3995	315
4005	309
4015	256
4025	211
4035	227
4045	222
4055	213
4065	188
4075	171
4085	170
4095	157
4105	130
4115	98
4125	117
4135	93
4145	80
4155	84
4165	67
4175	64
4185	47
4195	54
4205	37
4215	44
4225	37
4235	20
4245	26
4255	15
4265	22
4275	19
4285	12
4295	8
4305	12
4315	13
4325	6
4335	8
4345	4
4355	11
4365	6
4375	5
4385	6
4395	5
4405	4
4415	7
4425	6
4435	2
4445	1
4455	2
4465	1
4475	0
4485	1
4495	1
4505	2
4515	1
4525	3
4535	3
4545	1
4555	0
4565	0
4575	2
4585	2
4595	3
4605	1
4615	2
4625	2
4635	2
4645	2
4655	1
4665	3
4675	1
4685	0
4695	2
4705	3
4715	2
4725	1
4735	3
4745	3
4755	2
4765	1
4775	1
4785	1
4795	1
4805	1
4815	2
4825	1
4835	3
4845	3
4855	2
4865	1
4875	2
4885	0
4895	1
4905	1
4915	4
4925	3
4935	3
4945	2
4955	2
4965	2
4975	2
4985	3
4995	1
5005	2
5015	5
5025	2
5035	1
5045	0
5055	0
5065	3
5075	0
5085	0
5095	1
5105	0
5115	2
5125	2
5135	1
5145	3
5155	1
5165	3
5175	3
5185	3
5195	1
5205	0
5215	4
5225	4
5235	0
5245	2
5255	0
5265	1
5275	1
5285	2
5295	2
5305	0
5315	0
5325	0
5335	2
5345	3
5355	2
5365	1
5375	1
5385	0
5395	3
5405	1
5415	2
5425	0
5435	1
5445	1
5455	2
5465	2
5475	1
5485	0
5495	0
5505	2
5515	1
5525	0
5535	0
5545	2
5555	1
5565	1
5575	1
5585	1
5595	2
5605	2
5615	2
5625	1
5635	0
5645	2
5655	1
5665	3
5675	1
5685	0
5695	3
5705	2
5715	1
5725	1
5735	1
5745	1
5755	1
5765	0
5775	0
5785	0
5795	1
5805	1
5815	0
5825	1
5835	0
5845	0
5855	1
5865	2
5875	1
5885	1
5895	1
5905	1
5915	1
5925	2
5935	1
5945	1
5955	2
5965	2
5975	0
5985	1
5995	1
6005	1
6015	1
6025	0
6035	0
6045	1
6055	0
6065	0
6075	0
6085	0
6095	1
6105	1
6115	0
6125	0
6135	0
6145	0
6155	0
6165	0
6175	0
6185	1
6195	0
6205	0
6215	2
6225	0
6235	1
6245	0
6255	1
6265	0
6275	0
6285	0
6295	1
6305	1
6315	1
6325	2
6335	0
6345	1
6355	0
6365	1
6375	3
6385	0
6395	0
6405	0
6415	2
6425	0
6435	1
6445	2
6455	1
6465	0
6475	0
6485	0
6495	0
6505	0
6515	2
6525	1
6535	0
6545	1
6555	1
6565	1
6575	0
6585	0
6595	1
6605	2
6615	1
6625	1
6635	0
6645	0
6655	1
6665	1
6675	0
6685	0
6695	2
6705	1
6715	1
6725	1
6735	0
6745	1
6755	0
6765	2
6775	0
6785	1
6795	2
6805	0
6815	0
6825	1
6835	0
6845	0
6855	0
6865	1
6875	1
6885	0
6895	3
6905	0
6915	2
6925	1
6935	1
6945	2
6955	1
6965	0
6975	0
6985	2
6995	0
7005	2
7015	1
7025	0
7035	0
7045	2
7055	0
7065	0
7075	1
7085	1
7095	1
7105	0
7115	3
7125	1
7135	1
7145	1
7155	0
7165	0
7175	0
7185	0
7195	2
7205	0
7215	1
7225	0
7235	0
7245	1
7255	0
