ADC Channels - Charge distribution	Counts - Charge distribution
-495	0
-485	0
-475	0
-465	0
-455	0
-445	0
-435	0
-425	0
-415	0
-405	0
-395	0
-385	0
-375	0
-365	0
-355	0
-345	0
-335	0
-325	0
-315	0
-305	0
-295	0
-285	0
-275	0
-265	0
-255	0
-245	0
-235	1
-225	0
-215	0
-205	1
-195	2
-185	2
-175	3
-165	14
-155	12
-145	37
-135	59
-125	101
-115	141
-105	217
-95	312
-85	449
-75	508
-65	653
-55	792
-45	876
-35	916
-25	931
-15	1040
-5	1052
5	917
15	961
25	808
35	782
45	679
55	540
65	419
75	330
85	221
95	149
105	134
115	69
125	43
135	28
145	17
155	7
165	6
175	5
185	4
195	6
205	4
215	2
225	7
235	3
245	3
255	10
265	6
275	1
285	4
295	2
305	5
315	4
325	8
335	5
345	3
355	6
365	6
375	6
385	3
395	5
405	8
415	6
425	13
435	8
445	4
455	9
465	6
475	7
485	8
495	9
505	9
515	10
525	9
535	4
545	11
555	16
565	6
575	10
585	11
595	10
605	9
615	7
625	4
635	5
645	4
655	10
665	4
675	12
685	15
695	13
705	8
715	7
725	7
735	16
745	8
755	9
765	17
775	17
785	16
795	6
805	10
815	14
825	6
835	15
845	7
855	10
865	8
875	6
885	15
895	7
905	14
915	5
925	8
935	11
945	7
955	3
965	7
975	12
985	5
995	14
1005	7
1015	3
1025	4
1035	9
1045	6
1055	15
1065	9
1075	15
1085	13
1095	6
1105	5
1115	7
1125	13
1135	10
1145	8
1155	8
1165	15
1175	3
1185	11
1195	3
1205	14
1215	12
1225	7
1235	13
1245	13
1255	16
1265	4
1275	9
1285	15
1295	7
1305	8
1315	6
1325	13
1335	7
1345	10
1355	6
1365	14
1375	7
1385	7
1395	8
1405	11
1415	7
1425	11
1435	15
1445	9
1455	10
1465	10
1475	13
1485	8
1495	7
1505	18
1515	7
1525	10
1535	6
1545	10
1555	12
1565	10
1575	6
1585	10
1595	5
1605	11
1615	8
1625	7
1635	13
1645	11
1655	11
1665	6
1675	12
1685	10
1695	18
1705	12
1715	6
1725	10
1735	10
1745	10
1755	9
1765	15
1775	10
1785	17
1795	12
1805	3
1815	15
1825	14
1835	7
1845	9
1855	15
1865	12
1875	14
1885	9
1895	8
1905	12
1915	5
1925	6
1935	11
1945	6
1955	11
1965	12
1975	8
1985	13
1995	8
2005	12
2015	9
2025	11
2035	11
2045	12
2055	13
2065	12
2075	11
2085	10
2095	7
2105	12
2115	11
2125	8
2135	10
2145	8
2155	6
2165	11
2175	7
2185	11
2195	4
2205	5
2215	5
2225	7
2235	14
2245	8
2255	10
2265	14
2275	10
2285	7
2295	8
2305	11
2315	4
2325	7
2335	6
2345	9
2355	2
2365	4
2375	7
2385	3
2395	7
2405	3
2415	4
2425	7
2435	8
2445	5
2455	4
2465	4
2475	7
2485	5
2495	10
2505	5
2515	8
2525	6
2535	6
2545	12
2555	4
2565	3
2575	6
2585	6
2595	2
2605	3
2615	6
2625	6
2635	6
2645	1
2655	3
2665	3
2675	3
2685	3
2695	5
2705	5
2715	4
2725	6
2735	1
2745	3
2755	3
2765	8
2775	6
2785	2
2795	6
2805	2
2815	5
2825	4
2835	1
2845	3
2855	0
2865	1
2875	7
2885	4
2895	2
2905	2
2915	4
2925	0
2935	5
2945	3
2955	4
2965	4
2975	3
2985	3
2995	3
3005	5
3015	4
3025	6
3035	6
3045	5
3055	3
3065	0
3075	0
3085	5
3095	2
3105	2
3115	3
3125	3
3135	5
3145	3
3155	1
3165	3
3175	1
3185	3
3195	2
3205	1
3215	5
3225	5
3235	6
3245	3
3255	1
3265	6
3275	5
3285	2
3295	1
3305	3
3315	2
3325	5
3335	1
3345	4
3355	4
3365	0
3375	4
3385	2
3395	3
3405	4
3415	2
3425	4
3435	5
3445	6
3455	3
3465	2
3475	2
3485	4
3495	8
3505	4
3515	0
3525	4
3535	5
3545	3
3555	1
3565	3
3575	3
3585	3
3595	5
3605	1
3615	9
3625	3
3635	4
3645	7
3655	3
3665	3
3675	1
3685	3
3695	4
3705	3
3715	3
3725	4
3735	3
3745	2
3755	3
3765	5
3775	0
3785	3
3795	1
3805	7
3815	2
3825	4
3835	0
3845	2
3855	4
3865	1
3875	7
3885	6
3895	4
3905	3
3915	3
3925	5
3935	4
3945	1
3955	3
3965	2
3975	2
3985	3
3995	1
4005	4
4015	3
4025	5
4035	7
4045	3
4055	3
4065	4
4075	5
4085	2
4095	2
4105	4
4115	4
4125	4
4135	3
4145	3
4155	2
4165	2
4175	2
4185	1
4195	4
4205	1
4215	6
4225	2
4235	3
4245	1
4255	4
4265	3
4275	3
4285	2
4295	4
4305	3
4315	3
4325	2
4335	3
4345	1
4355	3
4365	5
4375	1
4385	3
4395	4
4405	3
4415	5
4425	2
4435	3
4445	4
4455	1
4465	6
4475	3
4485	5
4495	3
4505	2
4515	5
4525	2
4535	7
4545	6
4555	3
4565	4
4575	3
4585	3
4595	2
4605	2
4615	5
4625	2
4635	1
4645	2
4655	4
4665	1
4675	3
4685	2
4695	1
4705	3
4715	2
4725	1
4735	1
4745	3
4755	6
4765	3
4775	4
4785	4
4795	3
4805	1
4815	2
4825	0
4835	2
4845	1
4855	2
4865	4
4875	5
4885	3
4895	3
4905	3
4915	2
4925	2
4935	3
4945	2
4955	4
4965	2
4975	3
4985	2
4995	4
5005	0
5015	3
5025	0
5035	2
5045	2
5055	4
5065	0
5075	3
5085	5
5095	5
5105	3
5115	3
5125	1
5135	2
5145	3
5155	5
5165	2
5175	1
5185	0
5195	2
5205	5
5215	2
5225	4
5235	4
5245	3
5255	2
5265	2
5275	1
5285	2
5295	2
5305	4
5315	2
5325	4
5335	5
5345	3
5355	5
5365	1
5375	6
5385	2
5395	4
5405	5
5415	2
5425	3
5435	4
5445	4
5455	3
5465	2
5475	4
5485	2
5495	2
5505	4
5515	5
5525	3
5535	4
5545	2
5555	3
5565	4
5575	2
5585	2
5595	5
5605	1
5615	3
5625	3
5635	6
5645	8
5655	2
5665	4
5675	1
