ADC Channels - Charge distribution	Counts - Charge distribution
-495	1
-485	0
-475	2
-465	2
-455	2
-445	2
-435	1
-425	2
-415	2
-405	0
-395	1
-385	1
-375	0
-365	1
-355	0
-345	2
-335	1
-325	3
-315	0
-305	0
-295	0
-285	1
-275	0
-265	1
-255	0
-245	1
-235	3
-225	5
-215	1
-205	9
-195	12
-185	16
-175	32
-165	52
-155	88
-145	134
-135	233
-125	374
-115	566
-105	802
-95	1036
-85	1362
-75	1629
-65	2004
-55	2301
-45	2549
-35	2616
-25	2845
-15	2776
-5	2795
5	2803
15	2413
25	2275
35	2000
45	1717
55	1378
65	1122
75	864
85	623
95	461
105	307
115	247
125	165
135	133
145	113
155	76
165	99
175	90
185	97
195	77
205	89
215	100
225	72
235	71
245	71
255	79
265	67
275	63
285	77
295	62
305	83
315	65
325	76
335	69
345	63
355	70
365	80
375	82
385	82
395	76
405	89
415	74
425	87
435	75
445	67
455	74
465	84
475	72
485	91
495	94
505	89
515	94
525	97
535	90
545	113
555	102
565	104
575	99
585	114
595	112
605	103
615	132
625	130
635	108
645	135
655	167
665	140
675	140
685	172
695	165
705	176
715	202
725	201
735	227
745	269
755	286
765	283
775	321
785	327
795	338
805	366
815	398
825	434
835	452
845	490
855	479
865	493
875	511
885	508
895	527
905	563
915	521
925	548
935	566
945	592
955	537
965	570
975	541
985	505
995	485
1005	506
1015	446
1025	413
1035	425
1045	422
1055	410
1065	389
1075	309
1085	314
1095	287
1105	290
1115	264
1125	256
1135	251
1145	206
1155	210
1165	213
1175	179
1185	178
1195	153
1205	136
1215	118
1225	130
1235	125
1245	127
1255	101
1265	96
1275	104
1285	104
1295	91
1305	108
1315	87
1325	85
1335	82
1345	71
1355	68
1365	93
1375	70
1385	60
1395	92
1405	83
1415	72
1425	80
1435	85
1445	69
1455	71
1465	65
1475	65
1485	77
1495	62
1505	85
1515	72
1525	76
1535	73
1545	73
1555	82
1565	82
1575	85
1585	84
1595	81
1605	74
1615	80
1625	71
1635	60
1645	60
1655	63
1665	73
1675	79
1685	50
1695	56
1705	48
1715	73
1725	54
1735	52
1745	58
1755	51
1765	51
1775	37
1785	53
1795	59
1805	46
1815	38
1825	39
1835	53
1845	41
1855	36
1865	31
1875	27
1885	39
1895	38
1905	41
1915	38
1925	38
1935	30
1945	45
1955	35
1965	32
1975	24
1985	34
1995	30
2005	36
2015	49
2025	35
2035	34
2045	47
2055	43
2065	32
2075	27
2085	36
2095	26
2105	39
2115	36
2125	38
2135	35
2145	35
2155	27
2165	22
2175	34
2185	40
2195	32
2205	39
2215	24
2225	31
2235	29
2245	31
2255	26
2265	29
2275	34
2285	25
2295	43
2305	30
2315	32
2325	30
2335	37
2345	34
2355	30
2365	32
2375	41
2385	29
2395	32
2405	34
2415	37
2425	34
2435	26
2445	22
2455	28
2465	33
2475	17
2485	36
2495	48
2505	32
2515	28
2525	34
2535	35
2545	30
2555	29
2565	35
2575	29
2585	34
2595	35
2605	36
2615	31
2625	27
2635	27
2645	38
2655	23
2665	33
2675	30
2685	25
2695	29
2705	35
2715	32
2725	37
2735	42
2745	33
2755	31
2765	17
2775	24
2785	25
2795	37
2805	23
2815	37
2825	47
2835	31
2845	32
2855	26
2865	26
2875	40
2885	30
2895	26
2905	33
2915	33
2925	37
2935	28
2945	37
2955	28
2965	28
2975	36
2985	29
2995	22
3005	26
3015	28
3025	26
3035	27
3045	31
3055	35
3065	29
3075	28
3085	32
3095	28
3105	43
3115	44
3125	31
3135	39
3145	28
3155	29
3165	27
3175	37
3185	48
3195	31
3205	36
3215	29
3225	28
3235	31
3245	23
3255	25
3265	23
3275	28
3285	32
3295	33
3305	35
3315	25
3325	34
3335	32
3345	23
3355	30
3365	22
3375	30
3385	30
3395	25
3405	27
3415	28
3425	26
3435	30
3445	26
3455	31
3465	34
3475	24
3485	23
3495	25
3505	26
3515	27
3525	33
3535	36
3545	34
3555	31
3565	27
3575	35
3585	27
3595	30
3605	27
3615	27
3625	28
3635	29
3645	37
3655	16
3665	37
3675	29
3685	30
3695	32
3705	37
3715	27
3725	35
3735	29
3745	27
3755	29
3765	49
3775	18
3785	25
3795	28
3805	36
3815	38
3825	35
3835	49
3845	28
3855	34
3865	36
3875	32
3885	37
3895	37
3905	25
3915	34
3925	26
3935	38
3945	26
3955	28
3965	26
3975	39
3985	35
3995	39
4005	26
4015	38
4025	37
4035	32
4045	30
4055	24
4065	29
4075	28
4085	34
4095	33
4105	33
4115	36
4125	35
4135	25
4145	40
4155	38
4165	24
4175	36
4185	46
4195	31
4205	40
4215	39
4225	25
4235	31
4245	37
4255	32
4265	38
4275	39
4285	45
4295	43
4305	38
4315	32
4325	39
4335	40
4345	37
4355	45
4365	37
4375	37
4385	45
4395	39
4405	28
4415	31
4425	35
4435	43
4445	48
4455	39
4465	44
4475	35
4485	35
4495	50
4505	35
4515	31
4525	36
4535	53
4545	37
4555	40
4565	42
4575	31
4585	50
4595	40
4605	44
4615	36
4625	38
4635	30
4645	32
4655	45
4665	41
4675	28
4685	38
4695	32
4705	40
4715	42
4725	40
4735	45
4745	37
4755	39
4765	34
4775	39
4785	46
4795	38
4805	39
4815	39
4825	40
4835	46
4845	37
4855	34
4865	33
4875	36
4885	41
4895	38
4905	41
4915	35
4925	36
4935	51
4945	38
4955	36
4965	40
4975	47
4985	27
4995	39
5005	38
5015	39
5025	34
5035	38
5045	42
5055	33
5065	33
5075	39
5085	52
5095	38
5105	34
5115	43
5125	33
5135	44
5145	37
5155	46
5165	37
5175	39
5185	51
5195	28
5205	33
5215	30
5225	45
5235	35
5245	30
5255	41
5265	38
5275	35
5285	31
5295	38
5305	38
5315	29
5325	21
5335	29
5345	39
5355	35
5365	35
5375	39
5385	35
5395	29
5405	31
5415	38
5425	32
5435	32
5445	28
5455	36
5465	31
5475	38
5485	33
5495	26
5505	25
5515	27
5525	34
5535	31
5545	22
5555	38
5565	30
5575	22
5585	29
5595	34
5605	26
5615	45
5625	26
5635	34
5645	39
5655	26
5665	35
5675	27
5685	35
5695	22
5705	17
5715	24
5725	30
5735	35
5745	33
5755	26
5765	41
5775	16
5785	21
5795	30
5805	31
5815	26
5825	29
5835	29
5845	28
5855	19
5865	22
5875	22
5885	20
5895	22
5905	27
5915	33
5925	30
5935	29
5945	29
5955	32
5965	26
5975	20
5985	26
5995	26
6005	17
6015	20
6025	15
6035	26
6045	32
6055	22
6065	31
6075	28
6085	26
6095	31
6105	22
6115	23
6125	29
6135	18
6145	27
6155	27
6165	35
6175	24
6185	27
6195	18
6205	17
6215	32
6225	32
6235	24
6245	25
6255	44
6265	38
6275	32
6285	34
6295	29
6305	27
6315	24
6325	24
6335	33
6345	26
6355	32
6365	21
6375	34
6385	35
6395	36
6405	24
6415	30
6425	23
6435	18
6445	37
6455	14
6465	31
6475	28
6485	27
6495	37
6505	29
6515	27
6525	39
6535	22
6545	16
6555	23
6565	25
6575	22
6585	30
6595	31
6605	26
6615	25
6625	34
6635	23
6645	19
6655	17
6665	18
6675	25
6685	22
6695	22
6705	29
6715	21
6725	26
6735	24
6745	30
6755	22
6765	35
6775	25
6785	37
6795	36
6805	25
6815	21
6825	34
6835	32
6845	27
6855	30
6865	27
6875	18
6885	26
6895	20
6905	23
6915	26
6925	27
6935	40
6945	31
6955	25
6965	29
6975	33
6985	23
6995	31
7005	30
7015	28
7025	33
7035	22
7045	20
7055	25
7065	22
7075	25
7085	20
7095	21
7105	28
7115	21
7125	23
7135	24
7145	22
7155	35
7165	25
7175	26
7185	25
7195	26
7205	23
7215	27
7225	25
7235	12
7245	20
7255	22
7265	30
7275	36
7285	24
7295	22
7305	11
7315	25
7325	19
7335	26
7345	19
7355	23
7365	27
7375	22
7385	21
7395	22
7405	17
7415	28
7425	32
7435	20
7445	27
7455	32
7465	21
7475	24
7485	23
7495	21
7505	16
7515	25
7525	26
7535	19
7545	23
7555	17
7565	26
7575	27
7585	28
7595	31
7605	20
7615	23
7625	22
7635	26
7645	24
7655	19
7665	26
7675	22
7685	29
7695	25
7705	24
7715	21
7725	26
7735	23
7745	24
7755	23
7765	30
7775	21
7785	22
7795	18
7805	30
7815	32
7825	24
7835	25
7845	24
7855	31
7865	19
7875	25
7885	19
7895	22
7905	23
7915	23
7925	21
7935	19
7945	22
7955	26
7965	27
7975	21
7985	28
7995	24
8005	17
8015	31
8025	27
8035	26
8045	25
8055	23
8065	26
8075	22
8085	23
8095	23
8105	17
8115	23
8125	20
8135	26
8145	21
8155	26
8165	19
8175	16
8185	32
8195	22
8205	27
8215	17
8225	23
8235	25
8245	30
8255	17
8265	25
8275	23
8285	19
8295	26
8305	22
8315	23
8325	23
8335	21
8345	19
8355	22
8365	30
8375	23
8385	27
8395	23
8405	20
8415	30
8425	27
8435	29
8445	26
8455	16
8465	28
8475	29
8485	23
8495	38
8505	17
8515	18
8525	17
8535	32
8545	19
8555	20
8565	16
8575	24
8585	34
8595	24
8605	24
8615	27
8625	21
8635	27
8645	31
8655	27
8665	17
8675	30
8685	32
8695	27
8705	30
8715	23
8725	21
8735	17
8745	21
8755	23
8765	32
8775	31
8785	19
8795	32
8805	24
8815	34
8825	29
8835	23
8845	19
8855	26
8865	22
8875	19
8885	16
8895	25
8905	25
8915	22
8925	30
8935	29
8945	19
8955	21
8965	13
8975	23
8985	17
8995	24
9005	29
9015	26
9025	27
9035	22
9045	26
9055	28
9065	17
9075	22
9085	26
9095	29
9105	23
9115	22
9125	30
9135	25
9145	28
9155	16
9165	22
9175	24
9185	17
9195	16
9205	30
9215	13
9225	32
9235	22
9245	22
9255	15
9265	22
9275	26
9285	30
9295	28
9305	24
9315	22
9325	25
9335	23
9345	19
9355	22
9365	32
9375	18
9385	23
9395	26
9405	28
9415	19
9425	25
9435	27
9445	24
9455	22
9465	22
9475	30
9485	25
9495	30
9505	30
9515	25
9525	29
9535	21
9545	25
9555	20
9565	19
9575	31
9585	22
9595	18
9605	25
9615	24
9625	20
9635	25
9645	24
9655	18
9665	20
9675	17
9685	23
9695	20
9705	20
9715	22
9725	22
9735	22
9745	23
9755	17
9765	22
9775	27
9785	25
9795	21
9805	21
9815	18
9825	25
9835	20
9845	18
9855	17
9865	13
9875	16
9885	34
9895	19
9905	17
9915	25
9925	24
9935	15
9945	22
9955	14
9965	18
9975	20
9985	16
9995	26
10005	18
10015	20
10025	30
10035	20
10045	25
10055	32
10065	20
10075	21
10085	16
10095	17
10105	20
10115	20
10125	24
10135	20
10145	20
10155	19
10165	14
10175	24
10185	15
10195	20
10205	15
10215	16
10225	16
10235	22
10245	22
10255	21
10265	17
10275	18
10285	14
10295	14
10305	14
10315	16
10325	10
10335	14
10345	20
10355	30
10365	19
10375	22
10385	11
10395	14
10405	12
10415	22
10425	18
10435	11
10445	18
10455	13
10465	15
10475	17
10485	14
10495	17
10505	23
10515	16
10525	23
10535	16
10545	23
10555	13
10565	23
10575	20
10585	19
10595	11
10605	15
10615	12
10625	8
10635	18
10645	18
10655	18
10665	15
10675	20
10685	8
10695	13
10705	15
10715	18
10725	12
10735	12
10745	13
10755	7
10765	12
10775	19
10785	13
10795	12
10805	13
10815	14
10825	11
10835	12
10845	14
10855	14
10865	14
10875	6
10885	9
10895	14
10905	7
10915	9
10925	12
10935	15
10945	8
10955	10
10965	12
10975	13
10985	6
10995	11
11005	6
11015	10
11025	15
11035	7
11045	13
11055	11
11065	10
11075	10
11085	12
11095	10
11105	8
11115	8
11125	10
11135	9
11145	11
11155	5
11165	10
11175	10
11185	5
11195	13
11205	6
11215	7
11225	8
11235	8
11245	9
11255	8
11265	17
11275	6
11285	9
11295	5
11305	9
11315	5
11325	3
11335	9
11345	6
11355	10
11365	8
11375	12
11385	4
11395	8
11405	7
11415	12
11425	9
11435	7
11445	14
11455	7
11465	11
11475	14
11485	6
11495	5
11505	12
11515	7
11525	8
11535	7
11545	4
11555	5
11565	10
11575	8
11585	6
11595	5
11605	7
11615	3
11625	9
11635	3
11645	8
11655	5
11665	6
11675	4
11685	10
11695	14
11705	4
11715	3
11725	8
11735	4
11745	2
11755	5
11765	6
11775	10
11785	7
11795	4
11805	8
11815	3
11825	7
11835	5
11845	10
11855	5
11865	8
11875	4
11885	8
11895	4
11905	4
11915	4
11925	5
11935	10
11945	7
11955	7
11965	10
11975	9
11985	5
11995	1
12005	10
12015	6
12025	7
12035	3
12045	9
12055	9
12065	7
12075	2
12085	14
12095	6
12105	9
12115	11
12125	7
12135	10
12145	5
12155	12
12165	5
12175	9
12185	5
12195	10
12205	5
12215	10
12225	3
12235	6
12245	7
12255	5
12265	11
12275	14
12285	8
12295	7
12305	8
12315	8
12325	5
12335	6
12345	11
12355	13
12365	10
12375	6
12385	4
12395	9
12405	9
12415	9
12425	6
12435	4
12445	11
12455	10
12465	10
12475	7
12485	13
12495	6
12505	3
12515	9
12525	8
12535	7
12545	8
12555	12
12565	9
12575	9
12585	10
12595	8
12605	8
12615	7
12625	9
12635	12
12645	10
12655	14
12665	9
12675	8
12685	6
12695	13
12705	16
12715	16
12725	10
12735	8
12745	22
12755	15
12765	7
12775	7
12785	9
12795	13
12805	13
12815	8
12825	9
12835	6
12845	14
12855	12
12865	15
12875	12
12885	17
12895	11
12905	16
12915	15
12925	11
12935	11
12945	18
12955	20
12965	19
12975	11
12985	13
12995	10
13005	15
13015	14
13025	11
13035	13
13045	18
13055	13
13065	16
13075	14
13085	12
13095	13
13105	7
13115	10
13125	12
13135	18
13145	14
13155	16
13165	24
13175	13
13185	15
13195	18
13205	16
13215	16
13225	18
13235	16
13245	11
13255	12
13265	16
13275	17
13285	22
13295	12
13305	12
13315	18
13325	15
13335	23
13345	22
13355	16
13365	16
13375	7
13385	16
13395	17
13405	19
13415	17
13425	24
13435	22
13445	20
13455	17
13465	15
13475	16
13485	11
13495	13
13505	17
13515	10
13525	19
13535	15
13545	24
13555	17
13565	20
13575	21
13585	18
13595	19
13605	18
13615	22
13625	22
13635	24
13645	21
13655	15
13665	19
13675	27
13685	25
13695	22
13705	24
13715	26
13725	34
13735	27
13745	21
13755	24
13765	20
13775	14
13785	23
13795	29
13805	21
13815	21
13825	24
13835	14
13845	28
13855	24
13865	26
13875	17
13885	20
13895	28
13905	23
13915	14
13925	37
13935	25
13945	32
13955	18
13965	25
13975	27
13985	25
13995	19
14005	26
14015	24
14025	20
14035	27
14045	27
14055	21
14065	37
14075	32
14085	26
14095	21
14105	26
14115	20
14125	29
14135	24
14145	30
14155	19
14165	27
14175	26
14185	22
14195	32
14205	25
14215	19
14225	20
14235	24
14245	35
14255	29
14265	26
14275	30
14285	27
14295	24
14305	27
14315	32
14325	24
14335	19
14345	12
14355	29
14365	35
14375	23
14385	26
14395	26
14405	20
14415	31
14425	29
14435	19
14445	28
14455	32
14465	28
14475	30
14485	18
14495	28
14505	22
14515	29
14525	22
14535	24
14545	29
14555	25
14565	22
14575	26
14585	26
14595	24
14605	21
14615	31
14625	21
14635	20
14645	17
14655	19
14665	11
14675	21
14685	22
14695	22
14705	16
14715	19
14725	18
14735	21
14745	19
14755	24
14765	33
14775	14
14785	23
14795	24
14805	21
14815	19
14825	19
14835	23
14845	12
14855	19
14865	12
14875	16
14885	17
14895	23
14905	14
14915	12
14925	19
14935	10
14945	16
14955	21
14965	15
14975	14
14985	20
14995	13
15005	7
15015	13
15025	11
15035	15
15045	13
15055	6
15065	11
15075	15
15085	12
15095	10
15105	14
15115	9
15125	6
15135	12
15145	13
15155	10
15165	10
15175	10
15185	14
15195	5
15205	9
15215	5
15225	9
15235	9
15245	7
15255	8
15265	6
15275	6
15285	7
15295	4
15305	5
15315	9
15325	5
15335	4
15345	4
15355	9
15365	4
15375	7
15385	8
15395	9
15405	5
15415	5
15425	3
15435	4
15445	1
15455	4
15465	3
15475	1
15485	7
15495	4
15505	6
15515	2
15525	2
15535	2
15545	2
15555	3
15565	2
15575	0
15585	2
15595	4
15605	3
15615	0
15625	2
15635	2
15645	1
15655	0
15665	2
15675	2
15685	4
15695	2
15705	1
15715	2
15725	2
15735	3
15745	1
15755	1
15765	2
15775	1
15785	1
15795	0
15805	4
15815	0
15825	0
15835	2
15845	2
15855	0
15865	0
15875	2
15885	1
15895	2
15905	1
15915	1
15925	1
15935	0
15945	4
15955	1
15965	2
15975	1
15985	1
15995	0
16005	0
16015	0
16025	1
16035	0
16045	0
16055	0
16065	1
16075	0
16085	0
16095	0
16105	0
16115	1
16125	0
16135	0
16145	0
16155	1
16165	0
16175	0
16185	0
16195	0
16205	0
16215	0
16225	0
16235	0
16245	0
16255	0
16265	0
16275	0
16285	1
16295	0
16305	2
16315	0
16325	0
16335	0
16345	0
16355	0
16365	0
16375	0
16385	0
16395	0
16405	0
16415	0
16425	0
16435	0
16445	0
16455	0
16465	0
16475	0
16485	0
16495	0
16505	0
16515	2
16525	0
16535	0
16545	0
16555	0
16565	0
16575	0
16585	0
16595	0
16605	0
16615	0
16625	0
16635	1
16645	0
16655	1
16665	0
16675	0
16685	0
16695	0
16705	0
16715	0
16725	0
16735	0
16745	0
16755	0
16765	0
16775	1
16785	0
16795	0
16805	2
16815	0
16825	0
16835	0
16845	0
16855	0
16865	0
16875	0
16885	0
16895	0
16905	0
16915	0
16925	0
16935	0
16945	0
16955	0
16965	0
16975	0
16985	0
16995	0
17005	0
17015	0
17025	0
17035	0
17045	1
17055	1
17065	0
17075	0
17085	0
17095	0
17105	0
17115	0
17125	0
17135	0
17145	0
17155	0
17165	0
17175	0
17185	1
17195	0
17205	0
17215	0
17225	0
17235	1
17245	0
17255	0
17265	0
17275	0
17285	0
17295	0
17305	0
17315	0
17325	0
17335	1
17345	0
17355	0
17365	0
17375	0
17385	0
17395	0
17405	0
17415	0
17425	0
17435	0
17445	0
17455	0
17465	0
17475	0
17485	0
17495	0
17505	1
17515	0
17525	0
17535	1
17545	0
17555	0
17565	0
17575	0
17585	0
17595	1
17605	0
17615	0
17625	0
17635	0
17645	0
17655	0
17665	1
17675	0
17685	0
17695	0
17705	0
17715	0
17725	0
17735	0
17745	0
17755	0
17765	0
17775	0
17785	0
17795	0
17805	0
17815	0
17825	0
17835	0
17845	0
17855	0
17865	0
17875	0
17885	0
17895	0
17905	0
17915	0
17925	0
17935	0
17945	0
17955	0
17965	0
17975	0
17985	0
17995	0
18005	0
18015	0
18025	0
18035	0
18045	1
18055	0
18065	0
18075	0
18085	0
18095	0
18105	0
18115	0
18125	0
18135	0
18145	0
18155	0
18165	0
18175	0
18185	0
18195	0
18205	0
18215	0
18225	0
18235	0
18245	0
18255	0
18265	0
18275	0
18285	0
18295	0
18305	0
18315	0
18325	0
18335	1
18345	0
18355	0
18365	0
18375	0
18385	0
18395	0
18405	0
18415	0
18425	0
18435	0
18445	0
18455	0
18465	0
18475	0
18485	0
18495	0
18505	0
18515	0
18525	0
18535	0
18545	0
18555	0
18565	0
18575	0
18585	1
18595	0
18605	0
18615	0
18625	0
18635	0
18645	0
18655	0
18665	0
18675	0
18685	0
18695	0
18705	0
18715	0
18725	0
18735	0
18745	0
18755	0
18765	0
18775	0
18785	0
18795	0
18805	0
18815	0
18825	0
18835	1
18845	0
18855	0
18865	0
18875	0
18885	1
18895	0
18905	0
18915	1
18925	0
18935	1
18945	0
18955	0
18965	0
18975	0
18985	0
18995	0
19005	0
19015	0
19025	0
19035	0
19045	0
19055	0
19065	0
19075	0
19085	0
19095	0
19105	0
19115	0
19125	0
19135	0
19145	0
19155	0
19165	0
19175	0
19185	0
19195	0
19205	0
19215	0
19225	0
19235	0
19245	0
19255	0
19265	0
19275	0
19285	0
19295	0
19305	0
19315	0
19325	0
19335	0
19345	0
19355	0
19365	0
19375	0
19385	0
19395	0
19405	0
19415	0
19425	0
19435	0
19445	0
19455	0
19465	0
19475	0
19485	0
19495	1
