ADC Channel - Charge distribution	Counts - Charge distribution
-495	0
-485	1
-475	0
-465	0
-455	0
-445	1
-435	1
-425	1
-415	2
-405	1
-395	1
-385	0
-375	1
-365	1
-355	0
-345	2
-335	4
-325	4
-315	3
-305	1
-295	3
-285	1
-275	3
-265	5
-255	7
-245	13
-235	5
-225	10
-215	8
-205	8
-195	9
-185	9
-175	5
-165	5
-155	9
-145	18
-135	8
-125	9
-115	6
-105	12
-95	8
-85	11
-75	16
-65	30
-55	50
-45	49
-35	106
-25	146
-15	205
-5	302
5	362
15	505
25	578
35	720
45	928
55	1022
65	1174
75	1381
85	1493
95	1610
105	1696
115	1820
125	1857
135	1885
145	1953
155	1856
165	1839
175	1762
185	1632
195	1495
205	1494
215	1394
225	1216
235	1201
245	1031
255	887
265	828
275	764
285	683
295	635
305	547
315	529
325	457
335	395
345	338
355	284
365	290
375	288
385	240
395	214
405	227
415	201
425	159
435	159
445	118
455	134
465	100
475	107
485	92
495	91
505	76
515	78
525	78
535	65
545	75
555	91
565	94
575	80
585	96
595	96
605	122
615	132
625	154
635	161
645	187
655	221
665	210
675	233
685	265
695	305
705	331
715	374
725	406
735	432
745	492
755	579
765	630
775	667
785	739
795	837
805	865
815	930
825	999
835	1094
845	1198
855	1306
865	1299
875	1297
885	1401
895	1481
905	1428
915	1517
925	1567
935	1631
945	1557
955	1590
965	1593
975	1620
985	1540
995	1523
1005	1539
1015	1470
1025	1400
1035	1421
1045	1334
1055	1318
1065	1237
1075	1257
1085	1116
1095	1078
1105	976
1115	929
1125	851
1135	774
1145	729
1155	714
1165	636
1175	595
1185	563
1195	481
1205	455
1215	426
1225	371
1235	320
1245	265
1255	274
1265	217
1275	227
1285	211
1295	166
1305	169
1315	155
1325	96
1335	93
1345	96
1355	89
1365	68
1375	64
1385	54
1395	61
1405	55
1415	53
1425	29
1435	41
1445	45
1455	34
1465	15
1475	28
1485	23
1495	18
1505	21
1515	13
1525	22
1535	13
1545	18
1555	21
1565	23
1575	16
1585	13
1595	21
1605	16
1615	14
1625	15
1635	13
1645	14
1655	19
1665	15
1675	24
1685	26
1695	14
1705	26
1715	30
1725	35
1735	25
1745	18
1755	26
1765	31
1775	41
1785	41
1795	36
1805	31
1815	32
1825	30
1835	33
1845	33
1855	43
1865	30
1875	30
1885	28
1895	42
1905	30
1915	26
1925	28
1935	29
1945	42
1955	29
1965	34
1975	29
1985	17
1995	33
2005	31
2015	17
2025	27
2035	34
2045	32
2055	27
2065	33
2075	24
2085	29
2095	25
2105	22
2115	16
2125	16
2135	17
2145	21
2155	20
2165	13
2175	15
2185	22
2195	12
2205	14
2215	14
2225	10
2235	9
2245	10
2255	11
2265	5
2275	7
2285	9
2295	7
2305	5
2315	8
2325	10
2335	2
2345	1
2355	4
2365	4
2375	3
2385	2
2395	5
2405	4
2415	3
2425	1
2435	3
2445	1
2455	2
2465	1
2475	0
2485	0
2495	2
2505	2
2515	2
2525	1
2535	1
2545	1
2555	0
2565	1
2575	2
2585	0
2595	0
2605	0
2615	0
2625	1
2635	1
2645	1
2655	1
2665	0
2675	2
2685	0
2695	1
2705	0
2715	0
2725	0
2735	0
2745	0
2755	2
2765	0
2775	1
2785	0
2795	2
2805	0
2815	0
2825	1
2835	0
2845	0
2855	0
2865	1
2875	1
2885	1
2895	1
2905	0
2915	1
2925	1
2935	1
2945	0
2955	0
2965	1
2975	3
2985	2
2995	0
3005	2
3015	0
3025	2
3035	1
3045	1
3055	0
3065	0
3075	1
3085	0
3095	0
3105	1
3115	1
3125	0
3135	0
3145	1
3155	0
3165	0
3175	1
3185	1
3195	1
3205	0
3215	2
3225	0
3235	0
3245	0
3255	0
3265	0
3275	1
3285	0
3295	1
3305	0
3315	0
3325	0
3335	0
3345	0
3355	0
3365	0
3375	0
3385	0
3395	0
3405	0
3415	0
3425	0
3435	0
3445	1
3455	0
3465	0
3475	0
3485	0
3495	0
3505	0
3515	0
3525	0
3535	0
3545	1
3555	0
3565	0
3575	0
3585	0
3595	0
3605	0
3615	0
3625	1
3635	0
3645	0
3655	0
3665	0
3675	0
3685	0
3695	0
3705	0
3715	1
3725	0
3735	1
3745	0
3755	1
3765	0
3775	0
3785	0
3795	0
3805	0
3815	0
3825	0
3835	0
3845	0
3855	0
3865	0
3875	0
3885	0
3895	0
3905	0
3915	0
3925	0
3935	0
3945	0
3955	0
3965	0
3975	0
3985	0
3995	0
4005	0
4015	0
4025	0
4035	0
4045	0
4055	0
4065	0
4075	0
4085	0
4095	0
4105	0
4115	1
4125	0
4135	0
4145	0
4155	0
4165	0
4175	0
4185	0
4195	1
4205	0
4215	0
4225	0
4235	0
4245	0
4255	0
4265	0
4275	0
4285	0
4295	0
4305	0
4315	0
4325	0
4335	0
4345	0
4355	0
4365	1
4375	0
4385	0
4395	0
4405	0
4415	0
4425	0
4435	1
4445	0
4455	1
4465	0
4475	0
4485	0
4495	2
4505	1
4515	0
4525	0
4535	0
4545	0
4555	0
4565	0
4575	1
4585	0
4595	0
4605	0
4615	0
4625	0
4635	0
4645	1
4655	0
4665	0
4675	0
4685	0
4695	0
4705	0
4715	0
4725	1
4735	0
4745	0
4755	0
4765	0
4775	0
4785	1
4795	0
4805	0
4815	0
4825	0
4835	0
4845	0
4855	0
4865	0
4875	0
4885	0
4895	1
4905	0
4915	0
4925	0
4935	0
4945	0
4955	1
4965	0
4975	0
4985	0
4995	1
5005	0
5015	0
5025	0
5035	0
5045	0
5055	0
5065	1
5075	0
5085	0
5095	0
5105	0
5115	0
5125	0
5135	1
5145	0
5155	0
5165	0
5175	0
5185	0
5195	1
5205	0
5215	0
5225	0
5235	0
5245	0
5255	0
5265	0
5275	0
5285	1
5295	0
5305	0
5315	1
5325	1
5335	0
5345	1
5355	1
5365	0
5375	0
5385	0
5395	0
5405	0
5415	0
5425	0
5435	1
5445	0
5455	0
5465	1
5475	0
5485	0
5495	0
5505	0
5515	0
5525	1
5535	0
5545	1
5555	0
5565	0
5575	0
5585	1
5595	0
5605	0
5615	0
5625	1
5635	0
5645	0
5655	0
5665	0
5675	0
5685	1
5695	0
5705	0
5715	2
5725	0
5735	0
5745	0
5755	0
5765	0
5775	0
5785	0
5795	0
5805	1
5815	0
5825	0
5835	1
5845	0
5855	1
5865	0
5875	0
5885	0
5895	2
5905	0
5915	2
5925	0
5935	0
5945	1
5955	0
5965	0
5975	0
5985	0
5995	0
6005	0
6015	0
6025	2
6035	0
6045	0
6055	0
6065	1
6075	0
6085	0
6095	1
6105	0
6115	0
6125	1
6135	0
6145	1
6155	0
6165	0
6175	1
6185	0
6195	1
6205	0
6215	0
6225	0
6235	1
6245	1
6255	0
6265	1
6275	1
6285	1
6295	1
6305	0
6315	0
6325	0
6335	1
6345	0
6355	0
6365	1
6375	0
6385	0
6395	4
6405	1
6415	0
6425	0
6435	0
6445	1
6455	1
6465	0
6475	0
6485	1
6495	0
6505	1
6515	0
6525	2
6535	0
6545	1
6555	1
6565	1
6575	1
6585	0
6595	0
6605	0
6615	0
6625	0
6635	0
6645	1
6655	0
6665	0
6675	0
6685	0
6695	0
6705	0
6715	0
6725	0
6735	0
6745	1
6755	0
6765	1
6775	0
6785	0
6795	0
6805	0
6815	0
6825	0
6835	0
6845	0
6855	0
6865	0
6875	0
6885	0
6895	1
6905	0
6915	1
6925	1
6935	0
6945	0
6955	0
6965	0
6975	0
6985	0
6995	0
7005	0
7015	0
7025	0
7035	0
7045	0
7055	0
7065	0
7075	1
7085	0
7095	0
7105	0
7115	0
7125	0
7135	0
7145	0
7155	0
7165	0
7175	0
7185	0
7195	1
7205	0
7215	0
7225	1
7235	0
7245	0
7255	0
7265	0
7275	1
7285	0
7295	1
7305	0
7315	1
7325	0
7335	0
7345	0
7355	0
7365	0
7375	0
7385	0
7395	1
7405	0
7415	0
7425	1
7435	0
7445	0
7455	0
7465	0
7475	0
7485	0
7495	1
7505	1
7515	0
7525	0
7535	1
7545	1
7555	0
7565	0
7575	0
7585	1
7595	0
7605	0
7615	1
7625	0
7635	0
7645	1
7655	0
7665	1
7675	2
7685	1
7695	0
7705	1
7715	0
7725	0
7735	1
7745	1
7755	0
7765	0
7775	0
7785	0
7795	0
7805	0
7815	0
7825	0
7835	0
7845	0
7855	0
7865	0
7875	0
7885	0
7895	0
7905	1
7915	1
7925	1
7935	0
7945	0
7955	0
7965	0
7975	0
7985	1
7995	0
8005	0
8015	0
8025	1
8035	0
8045	0
8055	0
8065	0
8075	0
8085	2
8095	0
8105	1
8115	0
8125	1
8135	0
8145	0
8155	0
8165	1
8175	0
8185	0
8195	0
8205	0
8215	0
8225	0
8235	0
8245	0
8255	0
8265	0
8275	0
8285	0
8295	0
8305	0
8315	0
8325	0
8335	1
8345	0
8355	0
8365	0
8375	0
8385	0
8395	0
8405	2
8415	1
8425	1
8435	0
8445	0
8455	0
8465	1
8475	1
8485	0
8495	0
8505	0
8515	0
8525	1
8535	0
8545	0
8555	0
8565	0
8575	0
8585	0
8595	0
8605	0
8615	0
8625	0
8635	0
8645	0
8655	0
8665	0
8675	1
8685	0
8695	0
8705	0
8715	0
8725	1
8735	0
8745	2
8755	1
8765	0
8775	1
8785	0
8795	0
8805	0
8815	0
8825	0
8835	1
8845	0
8855	0
8865	0
8875	1
8885	0
8895	0
8905	0
8915	1
8925	0
8935	0
8945	0
8955	1
8965	1
8975	0
8985	1
8995	0
9005	0
9015	0
9025	0
9035	0
9045	0
9055	0
9065	0
9075	0
9085	1
9095	0
9105	0
9115	0
9125	0
9135	0
9145	0
9155	2
9165	1
9175	0
9185	0
9195	1
9205	1
9215	0
9225	0
9235	0
9245	1
9255	0
9265	0
9275	0
9285	0
9295	0
9305	0
9315	0
9325	0
9335	0
9345	0
9355	0
9365	0
9375	0
9385	1
9395	1
9405	1
9415	0
9425	0
9435	1
9445	0
9455	0
9465	1
9475	0
9485	0
9495	0
9505	0
9515	0
9525	0
9535	0
9545	1
9555	0
9565	1
9575	0
9585	1
9595	2
9605	1
9615	0
9625	0
9635	0
9645	0
9655	0
9665	0
9675	1
9685	1
9695	1
9705	0
9715	0
9725	0
9735	0
9745	0
9755	0
9765	0
9775	0
9785	0
9795	0
9805	0
9815	0
9825	1
