ADC Channel - Charge distribution	Counts - Charge distribution
-495	0
-485	0
-475	0
-465	0
-455	0
-445	0
-435	0
-425	0
-415	0
-405	0
-395	0
-385	0
-375	0
-365	0
-355	0
-345	0
-335	0
-325	0
-315	0
-305	0
-295	0
-285	0
-275	0
-265	0
-255	0
-245	0
-235	0
-225	0
-215	0
-205	0
-195	0
-185	0
-175	0
-165	0
-155	0
-145	0
-135	0
-125	0
-115	0
-105	0
-95	0
-85	0
-75	0
-65	0
-55	0
-45	0
-35	0
-25	0
-15	0
-5	0
5	0
15	0
25	0
35	0
45	0
55	0
65	0
75	0
85	0
95	0
105	0
115	0
125	1
135	0
145	0
155	1
165	0
175	1
185	0
195	0
205	0
215	2
225	3
235	1
245	3
255	8
265	3
275	2
285	5
295	9
305	4
315	11
325	3
335	2
345	5
355	5
365	6
375	10
385	3
395	5
405	4
415	4
425	3
435	8
445	10
455	4
465	9
475	5
485	6
495	8
505	7
515	8
525	4
535	5
545	2
555	3
565	5
575	3
585	6
595	4
605	9
615	10
625	3
635	4
645	2
655	5
665	8
675	8
685	1
695	7
705	3
715	7
725	4
735	9
745	3
755	7
765	5
775	5
785	5
795	9
805	9
815	10
825	5
835	11
845	7
855	5
865	9
875	6
885	8
895	8
905	0
915	6
925	15
935	9
945	8
955	5
965	5
975	3
985	11
995	9
1005	7
1015	7
1025	10
1035	8
1045	6
1055	8
1065	3
1075	7
1085	6
1095	10
1105	4
1115	3
1125	6
1135	4
1145	2
1155	10
1165	5
1175	5
1185	2
1195	6
1205	3
1215	8
1225	6
1235	2
1245	5
1255	6
1265	9
1275	8
1285	11
1295	2
1305	5
1315	8
1325	9
1335	4
1345	8
1355	4
1365	1
1375	3
1385	6
1395	1
1405	5
1415	6
1425	1
1435	5
1445	4
1455	6
1465	8
1475	6
1485	7
1495	14
1505	7
1515	8
1525	5
1535	7
1545	9
1555	9
1565	6
1575	2
1585	4
1595	4
1605	6
1615	5
1625	6
1635	6
1645	7
1655	6
1665	2
1675	4
1685	3
1695	2
1705	6
1715	6
1725	5
1735	7
1745	5
1755	7
1765	5
1775	4
1785	4
1795	4
1805	5
1815	4
1825	7
1835	3
1845	3
1855	8
1865	8
1875	8
1885	5
1895	3
1905	3
1915	5
1925	3
1935	4
1945	10
1955	9
1965	6
1975	5
1985	5
1995	5
2005	9
2015	8
2025	7
2035	3
2045	7
2055	4
2065	8
2075	6
2085	6
2095	6
2105	9
2115	6
2125	11
2135	8
2145	6
2155	13
2165	7
2175	2
2185	6
2195	4
2205	7
2215	8
2225	8
2235	6
2245	7
2255	10
2265	6
2275	6
2285	7
2295	6
2305	7
2315	7
2325	14
2335	4
2345	15
2355	6
2365	6
2375	3
2385	7
2395	9
2405	10
2415	5
2425	3
2435	11
2445	8
2455	9
2465	8
2475	8
2485	5
2495	9
2505	7
2515	8
2525	3
2535	8
2545	7
2555	1
2565	4
2575	5
2585	6
2595	4
2605	4
2615	7
2625	5
2635	4
2645	4
2655	4
2665	7
2675	14
2685	12
2695	3
2705	9
2715	12
2725	7
2735	7
2745	9
2755	7
2765	8
2775	4
2785	9
2795	7
2805	6
2815	11
2825	9
2835	13
2845	3
2855	9
2865	7
2875	4
2885	5
2895	11
2905	6
2915	6
2925	3
2935	4
2945	6
2955	10
2965	6
2975	3
2985	3
2995	3
3005	8
3015	1
3025	7
3035	6
3045	8
3055	12
3065	8
3075	3
3085	4
3095	8
3105	7
3115	6
3125	7
3135	4
3145	10
3155	2
3165	5
3175	4
3185	10
3195	3
3205	6
3215	11
3225	6
3235	9
3245	7
3255	3
3265	6
3275	8
3285	6
3295	9
3305	5
3315	7
3325	6
3335	6
3345	10
3355	10
3365	6
3375	7
3385	7
3395	4
3405	6
3415	4
3425	7
3435	4
3445	10
3455	7
3465	14
3475	9
3485	6
3495	8
3505	11
3515	12
3525	10
3535	5
3545	12
3555	3
3565	14
3575	9
3585	7
3595	5
3605	9
3615	9
3625	10
3635	4
3645	8
3655	7
3665	10
3675	6
3685	13
3695	8
3705	7
3715	9
3725	11
3735	12
3745	9
3755	13
3765	10
3775	14
3785	9
3795	5
3805	8
3815	6
3825	10
3835	10
3845	14
3855	7
3865	13
3875	12
3885	13
3895	6
3905	6
3915	14
3925	11
3935	13
3945	7
3955	11
3965	7
3975	7
3985	14
3995	12
4005	10
4015	14
4025	5
4035	12
4045	8
4055	12
4065	10
4075	9
4085	11
4095	6
4105	10
4115	11
4125	9
4135	12
4145	7
4155	16
4165	7
4175	7
4185	8
4195	10
4205	10
4215	11
4225	7
4235	8
4245	13
4255	9
4265	14
4275	7
4285	9
4295	13
4305	8
4315	11
4325	6
4335	6
4345	9
4355	7
4365	6
4375	17
4385	11
4395	7
4405	11
4415	9
4425	11
4435	13
4445	3
4455	12
4465	8
4475	10
4485	4
4495	11
4505	6
4515	12
4525	9
4535	6
4545	3
4555	5
4565	14
4575	6
4585	6
4595	7
4605	11
4615	13
4625	13
4635	4
4645	10
4655	8
4665	7
4675	12
4685	6
4695	10
4705	8
4715	9
4725	16
4735	5
4745	9
4755	10
4765	10
4775	10
4785	11
4795	10
4805	13
4815	16
4825	8
4835	12
4845	10
4855	15
4865	14
4875	7
4885	12
4895	9
4905	9
4915	10
4925	13
4935	12
4945	15
4955	6
4965	9
4975	11
4985	6
4995	8
5005	9
5015	9
5025	12
5035	8
5045	5
5055	12
5065	14
5075	7
5085	7
5095	6
5105	7
5115	7
5125	11
5135	7
5145	8
5155	15
5165	9
5175	10
5185	3
5195	12
5205	7
5215	8
5225	11
5235	6
5245	14
5255	8
5265	8
5275	11
5285	6
5295	4
5305	12
5315	11
5325	9
5335	11
5345	12
5355	8
5365	12
5375	8
5385	6
5395	8
5405	6
5415	7
5425	9
5435	8
5445	10
5455	9
5465	5
5475	12
5485	5
5495	3
5505	9
5515	10
5525	5
5535	8
5545	16
5555	9
5565	15
5575	7
5585	4
5595	9
5605	11
5615	5
5625	8
5635	9
5645	3
5655	9
5665	9
5675	7
