ADC Channel - Charge distribution	Counts - Charge distribution
-495	2
-485	7
-475	7
-465	3
-455	4
-445	5
-435	7
-425	8
-415	2
-405	7
-395	9
-385	2
-375	6
-365	3
-355	6
-345	0
-335	1
-325	7
-315	1
-305	2
-295	1
-285	1
-275	0
-265	0
-255	1
-245	1
-235	1
-225	3
-215	1
-205	1
-195	2
-185	0
-175	0
-165	2
-155	2
-145	1
-135	0
-125	2
-115	1
-105	2
-95	1
-85	3
-75	4
-65	6
-55	4
-45	7
-35	10
-25	15
-15	23
-5	22
5	28
15	35
25	54
35	63
45	62
55	67
65	84
75	111
85	111
95	108
105	122
115	121
125	121
135	134
145	120
155	157
165	155
175	180
185	174
195	174
205	207
215	226
225	250
235	245
245	251
255	301
265	382
275	440
285	430
295	462
305	552
315	581
325	677
335	661
345	757
355	753
365	829
375	820
385	822
395	835
405	905
415	867
425	864
435	866
445	809
455	818
465	776
475	789
485	697
495	713
505	649
515	651
525	576
535	519
545	449
555	478
565	405
575	405
585	361
595	312
605	295
615	255
625	239
635	222
645	218
655	188
665	168
675	173
685	151
695	151
705	139
715	125
725	127
735	124
745	108
755	100
765	107
775	116
785	95
795	103
805	93
815	98
825	99
835	85
845	85
855	85
865	96
875	79
885	92
895	81
905	89
915	104
925	88
935	80
945	68
955	86
965	86
975	68
985	85
995	78
1005	71
1015	83
1025	88
1035	88
1045	76
1055	83
1065	78
1075	83
1085	78
1095	87
1105	63
1115	75
1125	82
1135	69
1145	69
1155	64
1165	67
1175	69
1185	68
1195	86
1205	73
1215	83
1225	79
1235	92
1245	95
1255	83
1265	52
1275	71
1285	64
1295	70
1305	77
1315	70
1325	82
1335	69
1345	68
1355	60
1365	79
1375	50
1385	70
1395	97
1405	67
1415	55
1425	65
1435	57
1445	79
1455	69
1465	77
1475	59
1485	62
1495	67
1505	90
1515	66
1525	67
1535	80
1545	70
1555	67
1565	65
1575	64
1585	57
1595	61
1605	74
1615	68
1625	56
1635	56
1645	68
1655	68
1665	82
1675	70
1685	56
1695	71
1705	47
1715	61
1725	82
1735	71
1745	78
1755	61
1765	72
1775	50
1785	58
1795	78
1805	75
1815	70
1825	56
1835	69
1845	53
1855	58
1865	66
1875	83
1885	53
1895	67
1905	60
1915	53
1925	62
1935	55
1945	53
1955	65
1965	76
1975	58
1985	62
1995	66
2005	65
2015	64
2025	61
2035	62
2045	62
2055	57
2065	62
2075	62
2085	65
2095	61
2105	81
2115	67
2125	63
2135	71
2145	73
2155	56
2165	82
2175	65
2185	84
2195	64
2205	72
2215	67
2225	70
2235	63
2245	72
2255	71
2265	66
2275	75
2285	58
2295	56
2305	73
2315	73
2325	64
2335	66
2345	62
2355	77
2365	66
2375	64
2385	55
2395	66
2405	68
2415	75
2425	54
2435	63
2445	74
2455	77
2465	77
2475	71
2485	62
2495	64
2505	70
2515	73
2525	64
2535	90
2545	63
2555	68
2565	77
2575	72
2585	89
2595	61
2605	69
2615	67
2625	90
2635	57
2645	70
2655	70
2665	66
2675	64
2685	73
2695	74
2705	61
2715	89
2725	59
2735	68
2745	67
2755	76
2765	71
2775	69
2785	85
2795	59
2805	76
2815	77
2825	68
2835	70
2845	68
2855	84
2865	76
2875	75
2885	87
2895	73
2905	75
2915	75
2925	86
2935	77
2945	109
2955	85
2965	79
2975	69
2985	90
2995	70
3005	83
3015	92
3025	95
3035	72
3045	91
3055	78
3065	71
3075	77
3085	67
3095	89
3105	76
3115	86
3125	73
3135	91
3145	87
3155	106
3165	87
3175	99
3185	80
3195	81
3205	97
3215	100
3225	77
3235	84
3245	97
3255	90
3265	98
3275	107
3285	74
3295	76
3305	87
3315	97
3325	85
3335	79
3345	79
3355	77
3365	78
3375	86
3385	88
3395	105
3405	96
3415	74
3425	87
3435	84
3445	99
3455	92
3465	90
3475	90
3485	73
3495	94
3505	84
3515	97
3525	87
3535	83
3545	88
3555	86
3565	78
3575	70
3585	68
3595	81
3605	84
3615	94
3625	84
3635	89
3645	77
3655	73
3665	83
3675	80
3685	81
3695	49
3705	73
3715	80
3725	86
3735	82
3745	80
3755	83
3765	86
3775	75
3785	63
3795	74
3805	67
3815	80
3825	79
3835	73
3845	92
3855	73
3865	72
3875	74
3885	75
3895	70
3905	75
3915	55
3925	72
3935	77
3945	72
3955	69
3965	59
3975	55
3985	78
3995	62
4005	57
4015	84
4025	60
4035	74
4045	66
4055	73
4065	55
4075	55
4085	41
4095	65
4105	64
4115	67
4125	63
4135	69
4145	62
4155	60
4165	70
4175	76
4185	74
4195	66
4205	70
4215	63
4225	58
4235	51
4245	72
4255	75
4265	54
4275	70
4285	56
4295	69
4305	58
4315	65
4325	51
4335	66
4345	73
4355	45
4365	81
4375	58
4385	50
4395	44
4405	65
4415	72
4425	66
4435	67
4445	62
4455	71
4465	60
4475	61
4485	68
4495	55
4505	50
4515	55
4525	68
4535	66
4545	53
4555	65
4565	71
4575	52
4585	66
4595	71
4605	58
4615	66
4625	66
4635	64
4645	62
4655	63
4665	68
4675	55
4685	48
4695	53
4705	61
4715	44
4725	69
4735	67
4745	63
4755	70
4765	52
4775	64
4785	67
4795	65
4805	64
4815	60
4825	55
4835	59
4845	57
4855	72
4865	56
4875	72
4885	59
4895	61
4905	56
4915	67
4925	71
4935	53
4945	41
4955	54
4965	45
4975	57
4985	57
4995	54
5005	50
5015	62
5025	51
5035	75
5045	73
5055	58
5065	57
5075	74
5085	80
5095	71
5105	75
5115	57
5125	54
5135	52
5145	53
5155	61
5165	65
5175	66
5185	55
5195	46
5205	57
5215	62
5225	75
5235	49
5245	74
5255	57
5265	53
5275	76
5285	59
5295	54
5305	55
