Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator	Threshold [mV] - With Source	Frequency  [kHz] - With Source
-22	89,605			-24	78,9417
				-26	70,6008
				-28	63,325
				-30	58,2225
				-32	53,8667
				-34	51,0375
				-36	48,4733
				-38	46,3358
				-40	44,8375
				-42	43,6958
				-44	42,38
				-46	41,4117
				-48	40,655
				-50	39,9017
				-52	39,3433
				-54	38,3675
				-56	38,3017
				-58	37,8125
				-60	37,7858
				-62	37,3567
				-64	37,0317
				-66	36,6425
				-68	36,2192
				-70	36,2508
				-72	35,6525
				-74	35,3183
				-76	34,7808
				-78	34,6458
				-80	34,1292
				-82	33,4083
				-84	32,7883
				-86	32,2583
				-88	31,1425
				-90	30,5692
				-92	29,255
				-94	28,3467
				-96	26,8208
				-98	25,6525
				-100	24,2225
				-102	22,7883
				-104	21,4933
				-106	19,7767
				-108	18,2025
				-110	16,5717
				-112	15
				-114	13,4233
				-116	11,9483
				-118	10,275
				-120	8,98583
				-122	7,67333
				-124	6,60667
				-126	5,3375
				-128	4,39583
				-130	3,6075
				-132	2,8975
				-134	2,2275
				-136	1,70917
				-138	1,3325
				-140	1,01917
				-142	0,7725
				-144	0,539167
				-146	0,435833
				-148	0,275
				-150	0,196667
