Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator	Threshold [mV] - With Source	Frequency  [kHz] - With Source
-22	110,417			-24	87,96
				-26	68,0817
				-28	51,79
				-30	38,975
				-32	28,0767
				-34	20,1267
				-36	14,1458
				-38	10,075
				-40	6,9075
				-42	4,93167
				-44	3,53667
				-46	2,465
				-48	1,71083
				-50	1,30167
				-52	0,975833
				-54	0,821667
				-56	0,675833
				-58	0,5375
				-60	0,514167
				-62	0,486667
				-64	0,448333
				-66	0,4325
				-68	0,434167
				-70	0,444167
				-72	0,425833
				-74	0,456667
				-76	0,446667
				-78	0,428333
				-80	0,454167
				-82	0,440833
				-84	0,43
				-86	0,4225
				-88	0,4325
				-90	0,436667
				-92	0,399167
				-94	0,418333
				-96	0,4325
				-98	0,4225
				-100	0,418333
				-102	0,415
				-104	0,415
				-106	0,480833
				-108	0,438333
				-110	0,378333
				-112	0,3925
				-114	0,4225
				-116	0,449167
				-118	0,398333
				-120	0,4525
				-122	0,395833
				-124	0,416667
				-126	0,381667
				-128	0,395
				-130	0,3925
				-132	0,436667
				-134	0,4225
				-136	0,37
				-138	0,376667
				-140	0,410833
				-142	0,415
				-144	0,401667
				-146	0,385
				-148	0,420833
				-150	0,388333
				-22	84,3858
				-24	65,7317
				-26	51,2042
				-28	37,3883
				-30	26,1442
				-32	19,6017
				-34	13,765
				-36	9,75083
				-38	6,69083
				-40	4,58833
				-42	3,20833
				-44	2,21833
				-46	1,63417
				-48	1,24917
				-50	0,909167
				-52	0,7225
				-54	0,638333
				-56	0,555
				-58	0,541667
				-60	0,4975
				-62	0,484167
				-64	0,450833
				-66	0,405
				-68	0,4125
				-70	0,425
				-72	0,424167
				-74	0,416667
				-76	0,438333
				-78	0,430833
				-80	0,414167
				-82	0,406667
				-84	0,4375
				-86	0,439167
				-88	0,419167
				-90	0,408333
				-92	0,424167
				-94	0,4475
				-96	0,439167
				-98	0,4225
				-100	0,441667
				-102	0,419167
				-104	0,403333
				-106	0,414167
				-108	0,440833
				-110	0,410833
				-112	0,406667
				-114	0,453333
				-116	0,421667
				-118	0,434167
				-120	0,413333
				-122	0,44
				-124	0,425833
				-126	0,410833
				-128	0,4325
				-130	0,414167
				-132	0,39
				-134	0,416667
				-136	0,436667
				-138	0,413333
				-140	0,416667
				-142	0,445833
				-144	0,428333
				-146	0,399167
				-148	0,41
				-150	0,375833
