Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator	Threshold [mV] - With Source	Frequency  [kHz] - With Source
-22	79,155			-24	65,7158
				-26	53,665
				-28	42,485
				-30	34,6525
				-32	28,3475
				-34	23,9933
				-36	20,6058
				-38	18,3767
				-40	16,7842
				-42	15,2942
				-44	14,3275
				-46	13,65
				-48	13,0617
				-50	12,5508
				-52	12,1558
				-54	11,9292
				-56	11,7708
				-58	11,5858
				-60	11,3683
				-62	11,0567
				-64	11,0025
				-66	10,9792
				-68	10,7858
				-70	10,5625
				-72	10,655
				-74	10,36
				-76	10,3675
				-78	10,0783
				-80	10,1617
				-82	9,92
				-84	9,85417
				-86	9,83667
				-88	9,655
				-90	9,59167
				-92	9,72
				-94	9,70083
				-96	9,37333
				-98	9,59583
				-100	9,5325
				-102	9,39583
				-104	9,39917
				-106	9,16
				-108	9,25083
				-110	9,25833
				-112	9,33
				-114	9,19917
				-116	9,14667
				-118	9,03
				-120	9,27833
				-122	9,02
				-124	9,0875
				-126	9,23167
				-128	8,97167
				-130	8,8725
				-132	9,01333
				-134	8,85667
				-136	8,89
				-138	8,76417
				-140	8,80333
				-142	8,62583
				-144	8,64083
				-146	8,59333
				-148	8,52833
				-150	8,42333
