Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator
-22	13,84	-22	314,015
-24	8,49167	-24	271,952
-26	4,65417	-26	232,453
-28	2,15417	-28	192,048
-30	1,74083	-30	157,703
-32	1,0125	-32	125,696
-34	0,540833	-34	97,705
-36	0,334167	-36	76,6258
-38	0,210833	-38	58,5875
-40	0,134167	-40	45,5808
-42	0,0758333	-42	34,4342
-44	0,0608333	-44	26,0933
-46	0,0341667	-46	19,5217
-48	0,0133333	-48	14,4217
-50	0,01	-50	10,89
-52	0,00666667	-52	7,80333
-54	0,00166667	-54	5,78417
-56	0,00416667	-56	3,9825
-58	0,000833333	-58	2,915
-60	0,0025	-60	1,94
		-62	1,28583
		-64	0,868333
		-66	0,534167
		-68	0,330833
		-70	0,205833
		-72	0,146667
		-74	0,0991667
		-76	0,0616667
		-78	0,035
		-80	0,0308333
		-82	0,0141667
		-84	0,005
		-86	0,00583333
		-88	0,00666667
		-90	0,00916667
		-92	0,00583333
		-94	0,00583333
		-96	0,00333333
		-98	0,00416667
		-100	0,0025
		-102	0,00416667
		-104	0,005
		-106	0,0025
		-108	0,0025
		-110	0,0025
		-112	0,005
		-114	0,00333333
		-116	0,00333333
		-118	0,00583333
		-120	0,00166667
		-122	0,005
		-126	0,00166667
		-128	0,00333333
		-130	0,00416667
		-132	0,0025
		-134	0,00166667
		-136	0,00416667
		-138	0,00166667
		-140	0,00333333
		-142	0,000833333
		-144	0,005
		-146	0,00333333
		-148	0,00166667
		-150	0,00333333
