Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator	Threshold [mV] - With Source	Frequency  [kHz] - With Source
-22	134,024			-24	122,592
				-26	110,555
				-28	99,8908
				-30	90,5442
				-32	83,6483
				-34	77,7117
				-36	73,3058
				-38	70,1908
				-40	68,1767
				-42	66,4
				-44	65,0508
				-46	64,235
				-48	63,5667
				-50	63,3625
				-52	62,4692
				-54	62,1917
				-56	62,2567
				-58	61,7083
				-60	61,8275
				-62	61,6225
				-64	61,4883
				-66	61,4242
				-68	61,1275
				-70	60,4867
				-72	60,1175
				-74	60,3725
				-76	60,2242
				-78	60,0275
				-80	59,8533
				-82	59,4567
				-84	59,1125
				-86	58,9825
				-88	58,765
				-90	58,1175
				-92	57,6225
				-94	57,5917
				-96	57,1158
				-98	56,9417
				-100	56,3692
				-102	56,2642
				-104	55,3475
				-106	55,0917
				-108	54,6875
				-110	53,625
				-112	53,6592
				-114	52,7792
				-116	52,4092
				-118	51,4917
				-120	51,0858
				-122	50,385
				-124	49,5883
				-126	48,895
				-128	48,9942
				-130	47,37
				-132	46,5617
				-134	45,7575
				-136	45,2333
				-138	44,2558
				-140	43,0583
				-142	41,7733
				-144	41,13
				-146	40,0583
				-148	39,2108
				-150	38,1958
