Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator	Threshold [mV] - With Source	Frequency  [kHz] - With Source
-22	73,5658			-24	58,22
				-26	43,7258
				-28	32,03
				-30	23,1442
				-32	16,345
				-34	11,4717
				-36	7,81167
				-38	5,7175
				-40	3,8825
				-42	2,84583
				-44	1,935
				-46	1,51417
				-48	1,1525
				-50	0,936667
				-52	0,808333
				-54	0,693333
				-56	0,675
				-58	0,6275
				-60	0,62
				-62	0,648333
				-64	0,558333
				-66	0,573333
				-68	0,535
				-70	0,560833
				-72	0,5275
				-74	0,575833
				-76	0,5825
				-78	0,580833
				-80	0,529167
				-82	0,540833
				-84	0,565833
				-86	0,5575
				-88	0,556667
				-90	0,55
				-92	0,551667
				-94	0,550833
				-96	0,565
				-98	0,555
				-100	0,550833
				-102	0,5925
				-104	0,548333
				-106	0,539167
				-108	0,558333
				-110	0,561667
				-112	0,585
				-114	0,565833
				-116	0,555833
				-118	0,580833
				-120	0,555833
				-122	0,559167
				-124	0,5475
				-126	0,578333
				-128	0,563333
				-130	0,55
				-132	0,561667
				-134	0,561667
				-136	0,568333
				-138	0,610833
				-140	0,558333
				-142	0,570833
				-144	0,541667
				-146	0,5325
				-148	0,52
				-150	0,605
