Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator	Threshold [mV] - With Source	Frequency  [kHz] - With Source
-22	155,557			-22	138,484
				-24	120,026
				-26	103,032
				-28	88,6133
				-30	76,9833
				-32	65,8017
				-34	53,8633
				-36	44,34
				-38	36,3817
				-40	30,5025
				-42	25,8133
				-44	22,6492
				-46	20,0317
				-48	18,1775
				-50	16,6433
				-52	15,6267
				-54	14,5908
				-56	13,9208
				-58	13,565
				-60	13,2008
				-62	12,8933
				-64	12,6717
				-66	12,4408
				-68	12,3717
				-70	12,17
				-72	12,1683
				-74	12,4308
				-76	12,32
				-78	12,2933
				-80	12,0258
				-82	12,1908
				-84	12,3717
				-86	12,3117
				-88	12,2875
				-90	12,3467
				-92	12,2358
				-94	12,2367
				-96	12,1142
				-98	12,3775
				-100	12,2842
				-102	12,1667
				-104	12,0767
				-106	12,155
				-108	12,2492
				-110	12,33
				-112	12,2083
				-114	12,2142
				-116	12,07
				-118	12,105
				-120	12,075
				-122	12,1883
				-124	12,2525
				-126	12,2525
				-128	12,0208
				-130	12,0792
				-132	12,0525
				-134	12,1167
				-136	11,9892
				-138	12,03
				-140	12,0333
				-142	12,0033
				-144	11,915
				-146	11,935
				-148	11,8525
				-150	11,7217
