Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator
-22	127,075	-24	105,372
-22	12,1475	-26	78,2867
-24	8,76	-28	64,43
-26	5,40667	-30	49,0842
-28	3,19	-32	36,9633
-30	1,715	-34	27,015
-32	0,989167	-36	19,04
-34	0,598333	-38	13,8358
-36	0,308333	-40	10,2625
-38	0,191667	-42	7,5325
-40	0,1425	-44	5,25833
-42	0,0816667	-46	3,715
-44	0,0558333	-48	2,80667
-46	0,0433333	-50	2,1025
-48	0,0141667	-52	1,48833
-50	0,00916667	-54	1,08167
-52	0,00833333	-56	0,779167
-54	0,00416667	-58	0,549167
-56	0,00416667	-60	0,439167
-60	0,000833333	-62	0,338333
-62	0,000833333	-64	0,2525
-118	0,000833333	-66	0,218333
		-68	0,185
		-70	0,153333
		-72	0,155
		-74	0,1475
		-76	0,141667
		-78	0,156667
		-80	0,145833
		-82	0,150833
		-84	0,149167
		-86	0,1425
		-88	0,1375
		-90	0,159167
		-92	0,151667
		-94	0,14
		-96	0,1475
		-98	0,13
		-100	0,164167
		-102	0,156667
		-104	0,145
		-106	0,1425
		-108	0,163333
		-110	0,14
		-112	0,1625
		-114	0,15
		-116	0,171667
		-118	0,154167
		-120	0,141667
		-122	0,1375
		-124	0,1725
		-126	0,1275
		-128	0,1675
		-130	0,144167
		-132	0,139167
		-134	0,1525
		-136	0,14
		-138	0,1525
		-140	0,136667
		-142	0,144167
		-144	0,143333
		-146	0,15
		-148	0,1525
		-150	0,159167
