Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator	Threshold [mV] - With Source	Frequency  [kHz] - With Source
-22	283,617			-24	260,549
				-26	236,564
				-28	213,859
				-30	193,227
				-32	174,253
				-34	156,929
				-36	141,602
				-38	127,582
				-40	116,243
				-42	104,756
				-44	96,24
				-46	87,9842
				-48	81,7708
				-50	76,3733
				-52	71,4683
				-54	67,4167
				-56	64,2325
				-58	61,5342
				-60	59,5692
				-62	58,0333
				-64	56,7017
				-66	55,4633
				-68	54,4617
				-70	53,4517
				-72	52,7625
				-74	52,2792
				-76	51,9225
				-78	51,45
				-80	51,185
				-82	50,82
				-84	50,3133
				-86	50,0317
				-88	49,595
				-90	48,7383
				-92	48,17
				-94	48,0358
				-96	47,635
				-98	46,9433
				-100	46,4933
				-102	45,6983
				-104	44,9917
				-106	44,6867
				-108	43,8542
				-110	42,9292
				-112	42,5208
				-114	41,2467
				-116	40,7383
				-118	40,0775
				-120	39,42
				-122	38,6417
				-124	37,8033
				-126	36,8692
				-128	36,3958
				-130	35,3725
				-132	34,9275
				-134	34,2325
				-136	33,2608
				-138	32,7208
				-140	32,2933
				-142	31,4942
				-144	30,6675
				-146	30,06
				-148	29,3392
				-150	28,7125
				-22	194,378
				-24	178,01
				-26	163,095
				-28	148,627
				-30	136,312
				-32	124,765
				-34	113,973
				-36	103,363
				-38	96,4758
				-40	89,2033
				-42	83,0533
				-44	77,7842
				-46	73,2117
				-48	69,13
				-50	66,0192
				-52	63,56
				-54	61,33
				-56	58,9333
				-58	57,7175
				-60	55,8725
				-62	54,9425
				-64	54,6792
				-66	53,835
				-68	53,2083
				-70	52,955
				-72	52,4975
				-74	51,8167
				-76	51,5858
				-78	51,1017
				-80	50,8975
				-82	50,7383
				-84	50,0617
				-86	50,0508
				-88	49,5792
				-90	49,335
				-92	48,6225
				-94	48,4983
				-96	48,0242
				-98	47,18
				-100	47,2758
				-102	46,2392
				-104	45,74
				-106	45,0792
				-108	44,1842
				-110	44,1242
				-112	43,0425
				-114	42,8375
				-116	41,8008
				-118	41,1108
				-120	40,0775
				-122	39,42
				-124	38,7192
				-126	38,1408
				-128	37,5292
				-130	36,4292
				-132	35,6717
				-134	35,0725
				-136	34,1117
				-138	33,6783
				-140	32,8817
				-142	32,0842
				-144	31,3067
				-146	30,3133
				-148	29,6217
				-150	28,8158
				-22	169,933
				-24	155,999
				-26	144,395
				-28	131,492
				-30	121,168
				-32	111,262
				-34	102,527
				-36	94,7308
				-38	88,675
				-40	81,7917
				-42	77,2783
				-44	73,0542
				-46	69,1117
				-48	66,1142
				-50	63,7108
				-52	61,61
				-54	59,5742
				-56	58,0542
				-58	56,9108
				-60	55,5817
				-62	55,04
				-64	54,5208
				-66	53,6242
				-68	52,94
				-70	52,7108
				-72	52,3508
				-74	51,7717
				-76	51,6575
				-78	51,3233
				-80	50,9092
				-82	50,9675
				-84	50,475
				-86	50,0425
				-88	49,8717
				-90	49,4658
				-92	49,1808
				-94	48,4533
				-96	48,1042
				-98	47,5833
				-100	47,3525
				-102	46,6625
				-104	46,0475
				-106	45,6658
				-108	44,8142
				-110	44,2725
				-112	43,6633
				-114	42,8442
				-116	42,48
				-118	41,45
				-120	40,7
				-122	40,2533
				-124	39,275
				-126	38,3458
				-128	37,5117
				-130	36,4575
				-132	36,1125
				-134	35,2133
				-136	34,525
				-138	33,6533
				-140	33,0808
				-142	32,1775
				-144	31,4158
				-146	30,9008
				-148	30,0958
				-150	29,4992
