Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator	Threshold [mV] - With Source	Frequency  [kHz] - With Source
-22	163,377			-24	140,227
				-26	117,062
				-28	95,1308
				-30	75,6508
				-32	59,3125
				-34	45,1817
				-36	34,2908
				-38	25,4858
				-40	19
				-42	13,9067
				-44	10,08
				-46	7,34833
				-48	5,145
				-50	3,81917
				-52	2,77833
				-54	2,0325
				-56	1,49
				-58	1,16
				-60	0,973333
				-62	0,745
				-64	0,678333
				-66	0,518333
				-68	0,476667
				-70	0,481667
				-72	0,4125
				-74	0,380833
				-76	0,385
				-78	0,336667
				-80	0,339167
				-82	0,314167
				-84	0,330833
				-86	0,288333
				-88	0,303333
				-90	0,309167
				-92	0,284167
				-94	0,276667
				-96	0,268333
				-98	0,2775
				-100	0,290833
				-102	0,2825
				-104	0,2675
				-106	0,284167
				-108	0,2825
				-110	0,266667
				-112	0,2875
				-114	0,266667
				-116	0,290833
				-118	0,294167
				-120	0,293333
				-122	0,28
				-124	0,271667
				-126	0,248333
				-128	0,270833
				-130	0,301667
				-132	0,288333
				-134	0,270833
				-136	0,270833
				-138	0,248333
				-140	0,290833
				-142	0,296667
				-144	0,258333
				-146	0,260833
				-148	0,301667
				-150	0,255833
