Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator	Threshold [mV] - With Source	Frequency  [kHz] - With Source
-22	84,4075			-24	71,7825
				-26	62,105
				-28	53,795
				-30	45,6975
				-32	40,2167
				-34	34,9958
				-36	30,8033
				-38	27,1625
				-40	24,3117
				-42	22,3092
				-44	19,9908
				-46	18,4992
				-48	16,925
				-50	15,6142
				-52	14,405
				-54	13,3625
				-56	12,2875
				-58	11,7683
				-60	10,8225
				-62	10,4083
				-64	9,89833
				-66	9,69583
				-68	9,24333
				-70	8,8325
				-72	8,83417
				-74	8,50583
				-76	8,24583
				-78	8,235
				-80	8,00583
				-82	8,00667
				-84	7,91833
				-86	7,91917
				-88	7,88083
				-90	7,725
				-92	7,74667
				-94	7,83083
				-96	7,88917
				-98	7,6675
				-100	7,56333
				-102	7,655
				-104	7,54417
				-106	7,57583
				-108	7,43667
				-110	7,63
				-112	7,5325
				-114	7,56583
				-116	7,33667
				-118	7,32417
				-120	7,51417
				-122	7,37583
				-124	7,4175
				-126	7,2325
				-128	7,37167
				-130	7,42917
				-132	7,23833
				-134	7,4
				-136	7,39333
				-138	7,1925
				-140	7,22833
				-142	7,05083
				-144	7,02917
				-146	6,96417
				-148	7,13583
				-150	6,7775
