Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator	Threshold [mV] - With Source	Frequency  [kHz] - With Source
-62	9,32417	-62	0,165833	-64	9,21417
		-64	0,12	-66	8,80083
		-66	0,0758333	-68	8,70667
		-68	0,0508333	-70	8,465
		-70	0,0366667	-72	8,34583
		-72	0,0175	-74	8,4175
		-74	0,0108333	-76	8,10917
		-76	0,01	-78	8,1275
		-78	0,00583333	-80	7,93167
		-80	0,000833333	-82	7,90083
		-82	0,00666667	-84	7,8075
		-84	0,00333333	-86	7,72917
		-86	0,005	-88	7,70083
		-88	0,00166667	-90	7,72917
		-90	0,00583333	-92	7,61667
		-92	0,0025	-94	7,61833
		-94	0,0025	-96	7,61583
		-96	0,000833333	-98	7,53667
		-98	0,00583333	-100	7,42083
		-100	0,00583333	-102	7,57333
		-102	0,00333333	-104	7,48167
		-104	0,00416667	-106	7,45583
		-106	0,005	-108	7,47083
		-108	0,0025	-110	7,29
		-110	0,00833333	-112	7,3825
		-112	0,00333333	-114	7,42
		-114	0,005	-116	7,45583
		-116	0,00333333	-118	7,27083
		-118	0,0025	-120	7,28
		-120	0,00416667	-122	7,39
		-122	0,00416667	-124	7,48333
		-124	0,00416667	-126	7,125
		-126	0,00583333	-128	7,26917
		-128	0,00166667	-130	7,26833
		-130	0,005	-132	7,33667
		-132	0,00583333	-134	7,28
		-134	0,00666667	-136	7,26417
		-136	0,00166667	-138	7,03333
		-138	0,00166667	-140	7,1875
		-140	0,000833333	-142	7,1375
		-142	0,00333333	-144	6,97917
		-144	0,00166667	-146	6,99667
		-146	0,0025	-148	6,69667
		-148	0,0025	-150	6,5575
		-150	0,00333333		
		-22	62,7458		
		-24	47,8392		
		-26	36,5042		
		-28	26,3133		
		-30	18,9733		
		-32	13,5058		
		-34	9,21417		
		-36	6,3875		
		-38	4,34333		
		-40	2,97833		
		-42	2,04167		
		-44	1,31417		
		-46	0,92		
		-48	0,599167		
		-50	0,4475		
		-52	0,295		
		-54	0,283333		
		-56	0,205833		
		-58	0,139167		
		-60	0,1125		
		-62	0,0758333		
		-64	0,0466667		
		-66	0,0325		
		-68	0,0133333		
		-70	0,0158333		
		-72	0,00916667		
		-74	0,00916667		
		-76	0,00833333		
		-78	0,00166667		
		-80	0,0108333		
		-82	0,0025		
		-84	0,00166667		
		-86	0,00166667		
		-88	0,000833333		
		-90	0,0025		
		-92	0,00416667		
		-94	0,0025		
		-96	0,00416667		
		-98	0,00416667		
		-100	0,00333333		
		-102	0,005		
		-104	0,00166667		
		-106	0,00333333		
		-108	0,00333333		
		-110	0,00333333		
		-112	0,00166667		
		-114	0,00583333		
		-116	0,00333333		
		-118	0,00416667		
		-120	0,005		
		-122	0,00333333		
		-124	0,0025		
		-126	0,005		
		-128	0,00416667		
		-130	0,005		
		-132	0,0025		
		-134	0,00333333		
		-136	0,00583333		
		-138	0,00416667		
		-140	0,0025		
		-142	0,000833333		
		-144	0,00416667		
		-146	0,00333333		
		-148	0,00416667		
		-150	0,00416667		
