Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator
-22	72,525	-24	54,9125
-22	13,6783	-26	40,9017
-24	7,51333	-28	31,2208
-26	4,86917	-30	22,225
-28	3,02167	-32	14,2733
-30	1,76417	-34	9,98583
-32	0,974167	-36	7,19083
-34	0,706667	-38	4,97167
-36	0,441667	-40	3,51333
-38	0,278333	-42	2,4725
-40	0,173333	-44	1,9275
-42	0,0941667	-46	1,28417
-44	0,06	-48	0,8875
-46	0,0375	-50	0,581667
-48	0,0166667	-52	0,386667
-50	0,0108333	-54	0,253333
-52	0,0075	-56	0,14
-54	0,00416667	-58	0,0916667
-56	0,0025	-60	0,07
-58	0,0025	-62	0,04
-64	0,000833333	-64	0,0333333
-68	0,000833333	-66	0,025
		-68	0,0175
		-70	0,0191667
		-72	0,0116667
		-74	0,01
		-76	0,00166667
		-78	0,00666667
		-80	0,00416667
		-82	0,00416667
		-84	0,00333333
		-86	0,000833333
		-88	0,00416667
		-90	0,00416667
		-92	0,0025
		-94	0,00333333
		-96	0,00416667
		-98	0,00333333
		-100	0,00166667
		-102	0,00583333
		-104	0,00166667
		-106	0,00583333
		-108	0,00666667
		-112	0,00416667
		-114	0,00583333
		-116	0,005
		-118	0,00333333
		-120	0,0025
		-122	0,00333333
		-124	0,00166667
		-126	0,0025
		-128	0,000833333
		-130	0,0025
		-132	0,0025
		-134	0,0025
		-136	0,005
		-138	0,000833333
		-140	0,00333333
		-142	0,00166667
		-144	0,00583333
		-146	0,005
		-148	0,00416667
		-150	0,00583333
